LID,Glottocode,Language,Microrelation,Macrorelation,LocusOfMarkingComments,IsDefaultLocusOfMarking,LocusOfMarking,LocusOfMarkingBinned6,LocusOfMarkingBinned5,LocusOfMarkingCategoryCondition,LocusOfMarkingSyntacticDomainCondition,LocusOfMarkingSemanticDomainCondition
455,cent2127,Yup’ik (Central),U-default,P,,TRUE,H+D,2,2,,,
206,nepa1254,Nepali,A-default,A,,TRUE,H+D,2,2,,,
206,nepa1254,Nepali,U-default,P,,TRUE,D,D,D,,,
206,nepa1254,Nepali,T-default,P,,TRUE,D,D,D,,,
206,nepa1254,Nepali,B-default,P,,TRUE,D,D,D,,,
206,nepa1254,Nepali,A-exp,A,,TRUE,D,D,D,,,
206,nepa1254,Nepali,U-stim,P,,TRUE,H+D,2,2,,,
206,nepa1254,Nepali,U-emp,P,,TRUE,D,D,D,,,
99,hind1269,Hindi,A-default,A,"H-marking, i.e. agreement only if the A-argument is in the nominative, not if it is in the ergative or dative. Case choice depends on TAM choice.",TRUE,h+D,2,D,,,
99,hind1269,Hindi,U-default,P,"H only if A is in an oblique (ergative, dative) case",TRUE,h+D,2,D,,,
99,hind1269,Hindi,T-default,P,"H only if A is in an oblique (ergative, dative) case",TRUE,h+D,2,D,,,
99,hind1269,Hindi,B-default,P,,TRUE,D,D,D,,,
99,hind1269,Hindi,G-default,P,,TRUE,D,D,D,,,
99,hind1269,Hindi,U-def,P,,TRUE,D,D,D,,,
99,hind1269,Hindi,T-def,P,,TRUE,D,D,D,,,
99,hind1269,Hindi,A-exp,A,,TRUE,D,D,D,,,
99,hind1269,Hindi,U-stim,P,"H-marking, i.e. agreement only if the A-argument is in the nominative, not if it is in the ergative. Case choice depends on TAM choice.",TRUE,h+D,2,D,,,
169,mait1250,Maithili,A-default,A,,TRUE,H+D,2,2,,,
169,mait1250,Maithili,B-default,P,,TRUE,D,D,D,,,
169,mait1250,Maithili,U-stim,P,,TRUE,H+D,2,2,,,
169,mait1250,Maithili,A-exp,A,,TRUE,H+D,2,2,,,
169,mait1250,Maithili,T-default,P,,TRUE,D,D,D,,,
169,mait1250,Maithili,T-emp,P,"Agreement is optional, discourse-based.",TRUE,h+D,2,D,,,
169,mait1250,Maithili,U-emp,P,"Agreement is optional, discourse-based",TRUE,h+D,2,D,,,
340,russ1263,Russian,S-default,S,,TRUE,H+D,2,2,,,
340,russ1263,Russian,U-default,P,,TRUE,D,D,D,,,
340,russ1263,Russian,T-default,P,,TRUE,D,D,D,,,
340,russ1263,Russian,B-default,P,,TRUE,D,D,D,,,
340,russ1263,Russian,A-exp,A,,TRUE,D,D,D,,,
340,russ1263,Russian,U-stim,P,,TRUE,H+D,2,2,,,
420,yima1243,Yimas,A-default,A,Perhaps ‘D on H’,TRUE,H,H,H,,,
420,yima1243,Yimas,T-default,P,Perhaps ‘D on H’,TRUE,H,H,H,,,
420,yima1243,Yimas,U-default,P,Perhaps ‘D on H’,TRUE,H,H,H,,,
361,swah1253,Swahili,S-default,S,,TRUE,H,H,H,,,
361,swah1253,Swahili,U-default,P,,TRUE,H,H,H,,,
361,swah1253,Swahili,U-default,P,,FALSE,Ø,Ø,Ø,,,
361,swah1253,Swahili,T-default,P,,TRUE,H,H,H,,,
154,haka1240,Hakka Lai,S-default,S,,TRUE,H+D,2,2,,,
154,haka1240,Hakka Lai,U-default,P,,TRUE,H+D,2,2,,,
154,haka1240,Hakka Lai,B-default,P,,TRUE,H+D,2,2,,,
154,haka1240,Hakka Lai,T-default,P,,TRUE,D,D,D,,,
87,stan1295,German,B-default,P,,TRUE,D,D,D,,,
171,mand1415,Mandarin,T-default,P,,TRUE,d,D,D,,,
362,taga1270,Tagalog,B-rec,P,,TRUE,H+D,2,2,,,
362,taga1270,Tagalog,B-ben,P,,TRUE,H+D,2,2,,,
362,taga1270,Tagalog,locative,,,TRUE,H+D,2,2,,,
362,taga1270,Tagalog,I-default,,,TRUE,H+D,2,2,,,
175,maor1246,Maori,S-default,S,Lack of preposition.,TRUE,Ø,Ø,Ø,,,
175,maor1246,Maori,A-default,A,Lack of preposition.,TRUE,Ø,Ø,Ø,,,
175,maor1246,Maori,U-default,P,Preposition.,TRUE,D,D,D,,,
175,maor1246,Maori,B-default,P,Preposition.,TRUE,D,D,D,,,
114,ingu1240,Ingush,A-default,A,,TRUE,D,D,D,,,
114,ingu1240,Ingush,A-exp,A,A handful of psych. verbs have dative subjects (e.g. d.ieza ‘like’).,TRUE,D,D,D,,,
114,ingu1240,Ingush,U-default,P,"Transitive verbs have nominative object; those that agree, agree with the object.Alt. pattern is for the non-agreeing verbs.",TRUE,h+D,2,D,,,
114,ingu1240,Ingush,U-default,P,"Transitive verbs have nominative object; those that agree, agree with the object.Alt. pattern is for the non-agreeing verbs.",FALSE,D,D,D,,,
114,ingu1240,Ingush,U-stim,P,A few verbs (e.g. /qier/ ‘fear’) take locative object.,TRUE,D,D,D,,,
114,ingu1240,Ingush,A-poss,A,Possessor subject takes genitive case.,TRUE,h+D,2,D,,,
340,russ1263,Russian,A-poss,A,,TRUE,D,D,D,,,
59,plai1258,Cree (Plains),A-default,A,Perhaps ‘D on H’,TRUE,H,H,H,,,
59,plai1258,Cree (Plains),U-default,P,Perhaps ‘D on H’,TRUE,H,H,H,,,
128,kaya1319,Kayardild,S-default,S,,TRUE,D,D,D,,,
128,kaya1319,Kayardild,A-default,A,,TRUE,D,D,D,,,
128,kaya1319,Kayardild,U-default,P,,TRUE,D,D,D,,,
128,kaya1319,Kayardild,B-default,P,,TRUE,D,D,D,,,
128,kaya1319,Kayardild,T-default,P,,TRUE,D,D,D,,,
35,belh1239,Belhare,U-ref,P,,TRUE,H+D,2,2,,,
176,mapu1245,Mapudungun,A-default,A,,TRUE,H,H,H,,,
176,mapu1245,Mapudungun,S-default,S,,TRUE,H,H,H,,,
176,mapu1245,Mapudungun,U-def,P,"“def” is very approximate characterization.  There is DOM (differential object marking) in the verb:  overt head marking for the more nearly definite objects.  Pp. 16, 19.  Log also mentions D marking for noun objects; so coded here, but recheck grammar [JN 6-15-01; entry from ca. April 2001 was plain H, type 1].",TRUE,H+d,2,H,,,
74,stan1293,English,POSS-default,POSS,Preposition ‘of’ or clitic -s; genitive case with pronouns.,TRUE,D,D,D,,,
464,mode1248,Greek (modern),S-default,S,,TRUE,H+D,2,2,,,
464,mode1248,Greek (modern),A-default,A,,TRUE,H+D,2,2,,,
464,mode1248,Greek (modern),U-default,P,"Object agreement through clitic doubling is optional. See pp. 186-88 of Joseph & Philippaki-Warburton for the conditions. Anagnostopoulou 1999:763ff finds that object doubling is OK as long as the object NP contains a specific (t-) article. [BB, 4-19-2001]-- So this is DOM.  [JN 10/14/2006]",TRUE,h+D,2,D,,,
464,mode1248,Greek (modern),POSS-default,POSS,P’or agreement through clitic doubling is optional.,TRUE,h+D,2,D,,,
464,mode1248,Greek (modern),ATTR-default,ATTR,"Number and gender on both head and dependent (agreement), except for a small class of uninflected adjectives.",TRUE,D,D,D,,,
35,belh1239,Belhare,POSS-default,POSS,"Possessor agreement only if the possessor has specific reference or if the possessum is inalienable. (The two conditions may be reduced to one, pending further analysis.)",TRUE,h+D,2,D,,,
78,finn1318,Finnish,POSS-default,POSS,"Possessor agreement optional; typical with pronouns, which are then dropped.Head marking (only) is pretty common in the written language, though.  [JN 5/22/2016]",TRUE,h+D,2,D,,,
78,finn1318,Finnish,ATTR-default,ATTR,Number agreement.,TRUE,D,D,D,,,
78,finn1318,Finnish,S-default,S,,TRUE,H+D,2,2,,,
78,finn1318,Finnish,A-default,A,,TRUE,H+D,2,2,,,
78,finn1318,Finnish,U-default,P,,TRUE,D,D,D,,,
59,plai1258,Cree (Plains),S-default,S,Perhaps ‘D on H’,TRUE,H,H,H,,,
87,stan1295,German,POSS-default,POSS,Possessive pronouns agree in gender with the head like adjectives.,TRUE,Dd,D,D,,,
87,stan1295,German,ATTR-default,ATTR,"Head-driven agreement in gender, case and number.",TRUE,D,D,D,,,
171,mand1415,Mandarin,A-default,A,,TRUE,Ø,Ø,Ø,,,
171,mand1415,Mandarin,S-default,S,,TRUE,Ø,Ø,Ø,,,
171,mand1415,Mandarin,U-default,P,,TRUE,d,D,D,,,
171,mand1415,Mandarin,POSS-default,POSS,"de on both Nouns and Pronouns;optional with pre-head possessors",TRUE,d,D,D,,,
171,mand1415,Mandarin,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
361,swah1253,Swahili,ATTR-default,ATTR,"Adjectives agree in gender, but the set of adjectives is severely limited.",TRUE,D,D,D,,,
361,swah1253,Swahili,POSS-default,POSS,"Nominal possessors are marked by the isolating genitival formative -a, which agrees in gender with the head; pronouns have special genitival (possessive) forms, which agree in gender with the head.",TRUE,DD,D,D,,,
362,taga1270,Tagalog,U-default,P,Arguably the unmarked choice.,TRUE,H+D,2,2,,,
362,taga1270,Tagalog,S-default,S,,TRUE,H+D,2,2,,,
362,taga1270,Tagalog,ATTR-default,ATTR,"ng linker, word order determined by i-structure",TRUE,F,F,FloatingorClitic,,,
362,taga1270,Tagalog,POSS-default,POSS,"-ng linker, word order determined by i-structure.Alternative construction with preposed genitve particle ng. See Schachter & Otanes, p. 136.",TRUE,F,F,FloatingorClitic,,,
362,taga1270,Tagalog,POSS-default,POSS,"-ng linker, word order determined by i-structure.Alternative construction with preposed genitve particle ng. See Schachter & Otanes, p. 136.",FALSE,D,D,D,,,
374,thai1261,Thai,A-default,A,,TRUE,Ø,Ø,Ø,,,
374,thai1261,Thai,S-default,S,,TRUE,Ø,Ø,Ø,,,
374,thai1261,Thai,U-default,P,,TRUE,Ø,Ø,Ø,,,
32,basq1248,Basque,POSS-default,POSS,p. 161,TRUE,D,D,D,,,
32,basq1248,Basque,ATTR-default,ATTR,p. 248,TRUE,Ø,Ø,Ø,,,
32,basq1248,Basque,S-default,S,,TRUE,H+D,2,2,,,
32,basq1248,Basque,A-default,A,,TRUE,H+D,2,2,,,
32,basq1248,Basque,U-default,P,,TRUE,H+D,2,2,,,
118,nucl1643,Japanese,POSS-default,POSS,,TRUE,D,D,D,,,
118,nucl1643,Japanese,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
118,nucl1643,Japanese,S-default,S,,TRUE,D,D,D,,,
118,nucl1643,Japanese,A-default,A,,TRUE,D,D,D,,,
118,nucl1643,Japanese,U-default,P,,TRUE,D,D,D,,,
135,koas1236,Koasati,POSS-default,POSS,,TRUE,H,H,H,,,
135,koas1236,Koasati,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
135,koas1236,Koasati,S-default,S,,TRUE,H+D,2,2,,,
135,koas1236,Koasati,A-default,A,,TRUE,H+D,2,2,,,
135,koas1236,Koasati,U-default,P,,TRUE,H+D,2,2,,,
465,mari1440,Maricopa,POSS-default,POSS,Marked on postpositional possession word.,TRUE,H,H,H,,,
465,mari1440,Maricopa,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
465,mari1440,Maricopa,S-default,S,,TRUE,H+D,2,2,,,
465,mari1440,Maricopa,A-default,A,,TRUE,H+D,2,2,,,
465,mari1440,Maricopa,U-default,P,,TRUE,H+D,2,2,,,
89,para1311,Guaraní (Paraguayan),ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
89,para1311,Guaraní (Paraguayan),POSS-default,POSS,"With inalienably possessed nouns, there is a ‘linking prefix’ instead of an agreement prefix. With other nouns, no head-marking",TRUE,h,H,H,,,
89,para1311,Guaraní (Paraguayan),S-default,S,,TRUE,H,H,H,,,
89,para1311,Guaraní (Paraguayan),A-default,A,,TRUE,H,H,H,,,
89,para1311,Guaraní (Paraguayan),B-default,P,"“Postposition”, discussed on p.141",TRUE,D,D,D,,,
466,sang1328,Sango,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
466,sang1328,Sango,POSS-default,POSS,,TRUE,D,D,D,,,
466,sang1328,Sango,S-default,S,"Obligatory with all subjects except simple pronouns (141, 196)So perhaps, award this a ‘H’ instead of an ‘h’.",TRUE,h,H,H,,,
466,sang1328,Sango,A-default,A,"Obligatory with all subjects except simple pronouns (141, 196)So perhaps, award this a ‘H’ instead of an ‘h’.",TRUE,h,H,H,,,
466,sang1328,Sango,U-default,P,,TRUE,Ø,Ø,Ø,,,
466,sang1328,Sango,B-default,P,Preposition ‘na’.,TRUE,D,D,D,,,
48,cham1312,Chamorro,POSS-default,POSS,"Possessive grammatical agreement (221f) on possessum or possessive class noun (see np_structures)Alternatively, with nominal dependents only, a linker.",TRUE,H,H,H,,,
48,cham1312,Chamorro,POSS-default,POSS,"Possessive grammatical agreement (221f) on possessum or possessive class noun (see np_structures)Alternatively, with nominal dependents only, a linker.",FALSE,F,F,FloatingorClitic,N,nominal,noun-like
48,cham1312,Chamorro,S-default,S,"•Nominative forms of pronouns (see gramm_markers ID#407)• S-agreement in number (-um- ‘SG.S’, man- ‘PL.S’, ma- ‘S’) but not all intransitive verbs take this marking. Prefix ma- simply registers presence of S; number marked by preprefix man-, cf. man-ma-cho’cho’ siha ‘they worked’ [84]. • Regular person/number agreement in the future.Some irregular verbs take possessor agreement instead. This is agreement in person and number; it is suffixal. [109]",TRUE,hh+d,2,2,,,
48,cham1312,Chamorro,A-default,A,"Regular grammmatical agreement. Only with true transitives withe definite objects (others are antipassive, taking S-d only.)Agreement markers are called and written as separate pronouns, but they trigger vowel harmong (p. 52f) and are indeed plain affixes.  • Coreferent nouns, but not pronouns can co-occur with A-agreement. Independent pronouns require a detransitivizing construction (see log file)",TRUE,H,H,H,,,
48,cham1312,Chamorro,U-def,P,"• Nominative forms of pronouns (see gramm_markers ID#407)• No agreement with definite U’s. Indefinite U’s are coded by diathetical forms which behave moprhologically like intransitives, i.e. they don’t take A-agreement",TRUE,d,D,D,,,
48,cham1312,Chamorro,B-default,P,Benefactive/referential “focus” (Topping 1973:205),TRUE,H+d,2,H,,,
79,stan1290,French (colloquial),POSS-default,POSS,"Preposition de agrees in number and gender with possessorPossessive pronoun agrees in number and gender with head (possessum)",TRUE,D,D,D,,,
79,stan1290,French (colloquial),ATTR-default,ATTR,"Agreement in number and gender, but not all adjectives show this overtly.",TRUE,d,D,D,,,
79,stan1290,French (colloquial),S-default,S,"More precisely, H + d on h",TRUE,H,H,H,,,
79,stan1290,French (colloquial),A-default,A,"More precisely, H + d on h",TRUE,H,H,H,,,
79,stan1290,French (colloquial),U-default,P,"Perhaps true H. Intonation patterns seem to suggest true clitic doubling (which would make this true H-marking). But there are no clitics in relative clause (*l’homme que je l’ai vu), which suggests that this is not true grammatical agreement (yet).",TRUE,d on h,D on H,FloatingorClitic,,,
348,sanu1240,Sanuma,ATTR-default,ATTR,"Not certain [BB, 4-15-2001]",TRUE,Ø,Ø,Ø,,,
348,sanu1240,Sanuma,S-default,S,,TRUE,Ø,Ø,Ø,,,
348,sanu1240,Sanuma,A-default,A,Head-marking limited to marking plural-subj and sing-object scenarios,TRUE,h+D,2,D,,,
348,sanu1240,Sanuma,U-default,P,Head-markng limited to marking plural-subj and sing-object scenarios,TRUE,h,H,H,,,
354,nort2942,Slave,S-default,S,,TRUE,H,H,H,,,
354,nort2942,Slave,A-default,A,,TRUE,H,H,H,,,
354,nort2942,Slave,U-default,P,,TRUE,H,H,H,,,
354,nort2942,Slave,POSS-default,POSS,"Construct state suffix (choice of inaliable and alienable suffix) where possible morphologically (not on all nouns); Additional possessor agreement on head. This agreement is grammatical if inalienable but pronominal if alienable.",TRUE,hh,H,H,N-inal,nominal,noun-like
354,nort2942,Slave,POSS-default,POSS,"Construct state suffix (choice of inaliable and alienable suffix) where possible morphologically (not on all nouns); Additional possessor agreement on head. This agreement is grammatical if inalienable but pronominal if alienable.",FALSE,h+d on h,D on H,FloatingorClitic,N-alien,nominal,noun-like
354,nort2942,Slave,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
75,ewee1241,Ewe,POSS-default,POSS,"possessive case with alienables onlyHigh-tone head marking with some inalienables onlyI reversed these between Default and Alt. (the alienable marking was Alt. and the inalienable one Default)  [JN 7-2-2002]Pasch 1995:65, 75:  postposed particle on noun or pronoun. [JN 4-30-2002]",TRUE,D,D,D,,,
75,ewee1241,Ewe,POSS-default,POSS,"possessive case with alienables onlyHigh-tone head marking with some inalienables onlyI reversed these between Default and Alt. (the alienable marking was Alt. and the inalienable one Default)  [JN 7-2-2002]Pasch 1995:65, 75:  postposed particle on noun or pronoun. [JN 4-30-2002]",FALSE,h,H,H,,,
75,ewee1241,Ewe,POSS-default,POSS,"possessive case with alienables onlyHigh-tone head marking with some inalienables onlyI reversed these between Default and Alt. (the alienable marking was Alt. and the inalienable one Default)  [JN 7-2-2002]Pasch 1995:65, 75:  postposed particle on noun or pronoun. [JN 4-30-2002]",FALSE,d,D,D,N-alien,nominal,noun-like
75,ewee1241,Ewe,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
581,zulu1248,Zulu,POSS-default,POSS,Both pronoun and noun possessive phrases have double dependent marking:  class concord plus possessive particle a- are prefixed to the dependent noun or pronoun(either the full pronoun or a possessive contracted variant.),TRUE,DD,D,D,,,
581,zulu1248,Zulu,ATTR-default,ATTR,,TRUE,D,D,D,,,
581,zulu1248,Zulu,A-default,A,,TRUE,H,H,H,,,
581,zulu1248,Zulu,S-default,S,,TRUE,H,H,H,,,
581,zulu1248,Zulu,U-default,P,,TRUE,H,H,H,,,
581,zulu1248,Zulu,U-default,P,,FALSE,Ø,Ø,Ø,,,
188,halh1238,Mongolian (Khalkha),POSS-default,POSS,"Possession by a 3rd person pronoun is indicated by a possessive suffix on the head noun, while 1st and 2nd person possession is indicated by a genitive case marker on the dependent.  A noun dependent is also dependent marked with the genitive case.But now see Janhunen 2012:137-8:  Suffix is possible for all person categories.  (He argues that it is best considered a suffix, not a clitic.)   The preposed genitive pronoun is an option for 1-2 persons, but not for 3rd.Changed 5/23/2019 following the second note.  [JN]",TRUE,D,D,D,,,
188,halh1238,Mongolian (Khalkha),POSS-default,POSS,"Possession by a 3rd person pronoun is indicated by a possessive suffix on the head noun, while 1st and 2nd person possession is indicated by a genitive case marker on the dependent.  A noun dependent is also dependent marked with the genitive case.But now see Janhunen 2012:137-8:  Suffix is possible for all person categories.  (He argues that it is best considered a suffix, not a clitic.)   The preposed genitive pronoun is an option for 1-2 persons, but not for 3rd.Changed 5/23/2019 following the second note.  [JN]",FALSE,H,H,H,Pro,nominal,non-SAP
188,halh1238,Mongolian (Khalkha),ATTR-default,ATTR,genitive case marking on some adjectives (p.115),TRUE,D,D,D,,,
188,halh1238,Mongolian (Khalkha),ATTR-default,ATTR,genitive case marking on some adjectives (p.115),FALSE,Ø,Ø,Ø,,,
188,halh1238,Mongolian (Khalkha),A-default,A,,TRUE,D,D,D,,,
188,halh1238,Mongolian (Khalkha),U-default,P,,TRUE,D,D,D,,,
188,halh1238,Mongolian (Khalkha),S-default,S,,TRUE,D,D,D,,,
14,alam1246,Alamblak,POSS-default,POSS,p 115,TRUE,D,D,D,,,
14,alam1246,Alamblak,ATTR-default,ATTR,,TRUE,Ø,Ø,Ø,,,
14,alam1246,Alamblak,A-default,A,"‘Actor’ obligatorily identified on verb, agreeing in person (1st, 2nd, 3rd), number (singular, dual, plural), and gender (masculine, feminine). ‘Undergoer’ is optionally identified on the verb, by the same agreement markers as the actor agreement markers, and immediately following the actor agreement markers.  The actor and undergoer markers on verbs are the same suffixes as the ‘terminators’ that mark person/number/gender on nouns.",TRUE,H,H,H,,,
14,alam1246,Alamblak,S-default,S,,TRUE,H,H,H,,,
14,alam1246,Alamblak,U-default,P,"When more than one object occurs, Bruce differentiates between the ‘inner’ object and the ‘outer’ object.  The inner object is the undergoer, and can take verb agreement, while the outer object(s) fill another semantic role, and do not have verb agreement.  The outer objects also do not take case marking, though, like all nouns, they do have a ‘terminator’ expressing person/number/gender.",TRUE,H,H,H,,,
14,alam1246,Alamblak,U-default,P,"When more than one object occurs, Bruce differentiates between the ‘inner’ object and the ‘outer’ object.  The inner object is the undergoer, and can take verb agreement, while the outer object(s) fill another semantic role, and do not have verb agreement.  The outer objects also do not take case marking, though, like all nouns, they do have a ‘terminator’ expressing person/number/gender.",FALSE,Ø,Ø,Ø,,,
7,abkh1244,Abkhaz,ATTR-default,ATTR,"In attributive noun phrases, the order is usually noun adjective, but is sometimes reversed.  The indefinite marker is always a suffix on the final word of the phrase, regardless of whether this is the adjective or the noun.  When the noun is the phrase is plural, the plural marker attaches obligatorily to the final word of the phrase, and optionally to the other word.  The plural marker also expresses a human/non-human distinction.  When plurality is marked on the adjective, the non-human form is the preferred form, even if the noun of the NP is human.  (§2.1.4)",TRUE,F,F,FloatingorClitic,,,
7,abkh1244,Abkhaz,POSS-default,POSS,,TRUE,H,H,H,,,
7,abkh1244,Abkhaz,S-default,S,,TRUE,H,H,H,,,
7,abkh1244,Abkhaz,A-default,A,,TRUE,H,H,H,,,
7,abkh1244,Abkhaz,U-default,P,,TRUE,H,H,H,,,
421,yoru1245,Yoruba,S-default,S,Pronouns distinguish subject vs. object forms.,TRUE,Ø,Ø,Ø,N,nominal,noun-like
421,yoru1245,Yoruba,S-default,S,Pronouns distinguish subject vs. object forms.,FALSE,D,D,D,Pro,nominal,non-SAP
421,yoru1245,Yoruba,A-default,A,Pronouns distinguish subject vs. object forms.,TRUE,Ø,Ø,Ø,N,nominal,noun-like
421,yoru1245,Yoruba,A-default,A,Pronouns distinguish subject vs. object forms.,FALSE,D,D,D,Pro,nominal,non-SAP
421,yoru1245,Yoruba,U-default,P,Nouns: tone sandhi on object (D); tone changes in verb conditioned by tone of object (H).  Pronouns distinguish subject vs. object forms.,TRUE,H+D,2,2,N,nominal,noun-like
421,yoru1245,Yoruba,U-default,P,Nouns: tone sandhi on object (D); tone changes in verb conditioned by tone of object (H).  Pronouns distinguish subject vs. object forms.,FALSE,D,D,D,Pro,nominal,non-SAP
10,west2632,Acoma,S-default,S,,TRUE,H,H,H,,,
10,west2632,Acoma,A-default,A,,TRUE,H,H,H,,,
10,west2632,Acoma,U-default,P,,TRUE,H,H,H,,,
512,apur1254,Apurina,A-default,A,Subject prefix on verb.,TRUE,H,H,H,,,
512,apur1254,Apurina,S-default,S,Subject prefix or object suffix on verb.  (Split intransitive.),TRUE,H,H,H,,,
512,apur1254,Apurina,U-default,P,Object suffix on verb.,TRUE,H,H,H,,,
512,apur1254,Apurina,B-default,P,,TRUE,D,D,D,,,
89,para1311,Guaraní (Paraguayan),U-default,P,,TRUE,H,H,H,,,
128,kaya1319,Kayardild,POSS-default,POSS,Case agreement and  possessor case; or case agreement alone with inalienable ‘juxtaposition’,TRUE,Dd,D,D,,,
