Category,Macrocategory,Definition
Possessor,NP-related,"The adnominal, or dependent, member of adnominal constructions (NP with modifier or adjunct). Includes but is not limited to literal possessors."
Motion,event-specs,"Inflectional categories (other than deixis) that have to do with motion, e.g. Yagua unbounded movement suffix, Mparntwe Arrernte associated motion.  But see also Purposive."
Repetition,event-specs,"Iteration, repetition (‘again’); not the same as an iterative Aktionsart."
Posterior,TAM+,Action follows another.  May be future-like in elicitation.  This definition based on the Hatam posterior category.
Rich_Construct,NP-related,"Construct marker, but with additional semantics indicating something about the role or function of the relevant dependent.  See the Hatam instrument prefix for an example."
Present,TAM+,"True present or Current Relevance (defined for Jeli [Mande, Ivory Coast] by Tröbs 1998: 141-2): makes a verb present or perfect."
TM,TAM+,Tense and mood
Quotative,evidential,"Reported speech, quotative, and other dedicated markers of direct, indirect, or semidirect speech."
Possessive,NP-related,"Possessive morphology (often affix), usually dependent-driven agreement on head."
Sequential,TAM+,Sequenced or sequential actions (anterior or posterior relative tense).  Maybe this category should be conflated with future/posterior.
Conditional,TAM+,"Mood category marking conditionality in any sense (hypothetical, counterfactual, etc.)."
MA,TAM+,Mood and aspect
Case,role,"E.g. Kunwinjku inflected verbs can take a case suffix; makes the verb (approximately) an adverbial clause (‘when’, etc.)."
Control,role,"As in Salishan: deliberate, involuntary, etc. control of A over the action."
Topic,pragmatic,"Either sentential topic (what is talked about in a sentence, opposed to comment) or discourse topic (central participant of a stretch of discourse)."
Taxis,inter-clausal,"Converb, participle, etc. morphology that can expand a fully inflected verb form"
Progressive,TAM+,Aktionsart category involving bounded duration.
Clusivity,person,inclusive/exclusive
Spatial,event-specs,"Various local, spatial, etc. things (other than Deixis)."
Symmetrical_voice,pragmatic,"Assignment of role to an NP with a certain marker or status (proximate, topic, focus, etc.) without a change in syntactic transitivity. This includes systems such as Western Austronesian focus, Yukagir focus, Algonquian obviation, etc."
Distributive,number,"Multiple occurrences of an argument, separate from role marking and distinct from number marking"
Reversative,event-specs,"‘undo’, etc."
Unspecified_Argument,valence,"Unspecified or generic (or similar) A, O, etc."
Middle,valence,"Middle voice.  This is probably lexical or derivational, not inflectional."
Incompletive,TAM+,Incompletive aspect.
Purposive,TAM+,"(Term used for Tariana and used as though it were a standard term.  Means ‘go and ...’, ‘(in order) for ... to...’.  Consider changing to Modality."
TAME,TAM+,"TAM and evidential, all in one slot"
Affect,pragmatic,"Indicates that an argument (e.g. A) is affected by, or has an interest in, the event."
AE,TAM+,Aspect and evidentiality
ME,TAM+,Mood and evidentiality
TAE,TAM+,"Tense, aspect and evidentiality"
TN,TAM+,"Tense, and negation"
