ID,Parameter_ID,Name,Description
125,155,concatenative,"The formative is a clitic or segmentable affix. Word-level phonological processes (such as vowel harmony), word-internal kinds of sandhi, prosodic phenomena (such as word stress) or general inability to stand alone, identify a formative as concatenative (rather than an independent word). Unless there is evidence to the contrary, zeroes are coded as concatenative."
126,155,tonal,"A tone contrast marks a morphological contrast. The tone must be not be the result of a general phonological sandhi rule, but represent true internal tone changes."
127,155,concatenative_and_ablaut,Concatenative formative plus ablaut (usually stem ablaut).
128,155,concatenative_or_ablaut,"Concatenative formative or ablaut, neither one clearly primary (or both equally primary)."
129,155,suppletive,One root or morpheme replaces another in part of a paradigm.
130,155,ablaut,Alternation of stem segments in some grammatical context. Distinct from phonologically conditioned alternation.
131,155,concatenative_or_suppletive,"Concatenative formative or suppletion, under different conditions."
132,156,isolating,"The formative is a free phonological word. If it is, it is likely to be written as a separate word, though this is not always true: non-isolating formatives like clitics are often written as separate words, and isolating formatives are written with hyphens or clitic boundary markers. Therefore you will need to look at prosodic factors such as word stress."
133,156,concatenative,"The formative is a clitic or segmentable affix. Word-level phonological processes (such as vowel harmony), word-internal kinds of sandhi, prosodic phenomena (such as word stress) or general inability to stand alone, identify a formative as concatenative (rather than an independent word). Unless there is evidence to the contrary, zeroes are coded as concatenative."
134,156,isolating_or_concatenative,"Isolating as regards stress, concatenative as regards segmental rules -- or vice versa."
135,156,reduplicative,A category is marked by some kind of reduplication effect
136,156,tonal,"A tone contrast marks a morphological contrast. The tone must be not be the result of a general phonological sandhi rule, but represent true internal tone changes."
137,156,concatenative_and_ablaut,Concatenative formative plus ablaut (usually stem ablaut).
138,156,concatenative_or_ablaut,"Concatenative formative or ablaut, neither one clearly primary (or both equally primary)."
139,156,ablaut,Alternation of stem segments in some grammatical context. Distinct from phonologically conditioned alternation.
140,157,isolating,"The formative is a free phonological word. If it is, it is likely to be written as a separate word, though this is not always true: non-isolating formatives like clitics are often written as separate words, and isolating formatives are written with hyphens or clitic boundary markers. Therefore you will need to look at prosodic factors such as word stress."
141,157,concatenative,"The formative is a clitic or segmentable affix. Word-level phonological processes (such as vowel harmony), word-internal kinds of sandhi, prosodic phenomena (such as word stress) or general inability to stand alone, identify a formative as concatenative (rather than an independent word). Unless there is evidence to the contrary, zeroes are coded as concatenative."
142,157,isolating_or_concatenative,"Isolating as regards stress, concatenative as regards segmental rules -- or vice versa."
143,157,isolating_then_concatenative,"First part of the formative is isolating, second part is concatenative."
144,157,concatenative_then_isolating,"First part of the formative is concatenative, second part is isolating."
145,157,tonal_or_ablaut_then_isolating,"First part of the formative is a tonal or ablaut alternation; second part is isolating. Example: Kisi negation, where the verb stem undergoes tone changes and a particle is added (Childs, A Grammar of Kisi, 220ff.; Mouton de Gruyter 1995."
146,157,concatenative_default_or_isolating,Concatenative formative is default; isolating allomorph under certain conditions.
147,157,isolating_default_or_concatenative,Isolating formative is default; concatenative allomorph under certain conditions.
148,158,isolating,"The formative is a free phonological word. If it is, it is likely to be written as a separate word, though this is not always true: non-isolating formatives like clitics are often written as separate words, and isolating formatives are written with hyphens or clitic boundary markers. Therefore you will need to look at prosodic factors such as word stress."
149,158,concatenative,"The formative is a clitic or segmentable affix. Word-level phonological processes (such as vowel harmony), word-internal kinds of sandhi, prosodic phenomena (such as word stress) or general inability to stand alone, identify a formative as concatenative (rather than an independent word). Unless there is evidence to the contrary, zeroes are coded as concatenative."
150,158,reduplicative,A category is marked by some kind of reduplication effect
151,158,concatenative_and_reduplicative,"Concatenative formative plus reduplication (usually reduplication of stem). If some lexemes take just the affix and others take the affix plus the reduplication, choose Concat + redupl and code for lexeme-based formative flexivity. (The flexivity lies in whether they do or do not take the reduplication part.)"
152,158,concatenative_and_ablaut,Concatenative formative plus ablaut (usually stem ablaut).
153,158,concatenative_or_ablaut,"Concatenative formative or ablaut, neither one clearly primary (or both equally primary)."
154,158,replacive,"The formative replaces a stem (or theme or base) segment. This is different from regularly concatenative formatives which alternate with other formatives, and not with stem segments. Examples: Marxist derived from Marxism (-ism replaces -ist) (Spencer in Spencer & Zwicky, Handbook of Morphology, 140; Oxford, 1998). In Slavic hypocoristics, after truncation, the stem-final consonant is replaced with /x/, e.g. Russ. smex ‘laughter’ < smej- ‘laugh’."
155,158,ablaut,Alternation of stem segments in some grammatical context. Distinct from phonologically conditioned alternation.
156,159,isolating,The formative is a free phonological word
157,159,concatenative,The formative is a clitic or segmentable affix
158,159,stem,Some kind of effect within the stem
159,159,tonal,A tone contrast
160,160,isolating,The formative is a free phonological word
161,160,concatenative,The formative is a clitic or segmentable affix
162,160,reduplicative,Some kind of reduplication effect
163,160,stem,Some kind of effect within the stem
164,160,tonal,A tone contrast
165,161,isolating,The formative is a free phonological word
166,161,concatenative,The formative is a clitic or segmentable affix
167,161,stem,Some kind of effect within the stem
168,162,isolating,The formative is a free phonological word
169,162,concatenative,The formative is a clitic or segmentable affix
170,162,reduplicative,Some kind of reduplication effect
171,162,replacive,The formative replaces the stem
172,162,stem,Some kind of effect within the stem
173,179,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
174,179,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
175,179,none,No allomorphic variation
176,180,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
177,180,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
178,180,none,No allomorphic variation
179,180,both,Allomorphic variation determined by both the inflectional category and the lexical host
180,181,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
181,181,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
182,181,none,No allomorphic variation
183,182,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
184,182,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
185,182,none,No allomorphic variation
186,183,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
187,183,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
188,183,none,No allomorphic variation
189,183,both,Allomorphic variation determined by both the inflectional category and the lexical host
190,184,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
191,184,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
192,184,none,No allomorphic variation
193,185,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
194,185,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
195,185,none,No allomorphic variation
196,185,both,Allomorphic variation determined by both the inflectional category and the lexical host
197,186,cat-based,"Allomorphic variation determined by the choice of inflectional category (e.g., a certain stem ablaut in certain tense forms, across the regular lexicon)"
198,186,lex-based,"Allomorphic variation determined by the choice of lexical host (e.g., a certain stem ablaut with some verbs, but not with others)"
199,186,none,No allomorphic variation
200,187,prae,before the phonological host
201,187,in,inside the phonological host
202,187,post,after the phonological host
203,187,post (in),"after the phonological host by default, inside the host under exceptional conditions (typically lexical)"
204,188,prae,before the phonological host
205,188,in,inside the phonological host
206,188,post,after the phonological host
207,188,simul,"the formative has two exponents at different positions in the phonological host (but it is not the case that one is positioned before and the other after the host, which is coded as “circum”)"
208,188,circum,"the formative has two exponents, one before and one after the phonological host. This is a special case of the “simul” position"
209,188,prae/post,"either before or after the phonological host, conditioned by some structural context (category, syntax etc.)"
210,188,in/prae,"either inside or before the phonological host, conditioned by some structural context (category, syntax etc.)"
211,188,in/post,"either inside or after the phonological host, conditioned by some structural context (category, syntax etc.)"
212,189,prae,before the phonological host
213,189,post,after the phonological host
214,189,simul,"the formative has two exponents at different positions in the phonological host (but it is not the case that one is positioned before and the other after the host, which is coded as “circum”)"
215,189,circum,"the formative has two exponents, one before and one after the phonological host. This is a special case of the “simul” position"
216,189,prae/post,"either before or after the phonological host, conditioned by some structural context (category, syntax etc.)"
217,189,post (circum),"after the phonological host by default, around the host under exceptional conditions (typically lexical)"
218,189,circum (prae),"around the phonological host by default, before the host under exceptional conditions (typically lexical)"
219,189,prae (circum),"before the phonological host by default, around the host under exceptional conditions (typically lexical)"
220,189,circum (post),"around the phonological host by default, after the host under exceptional conditions (typically lexical)"
221,189,circum (W),DO NOT USE (Wackernagel is defined as Behavior = Initial and Position = post) -- see log 77
222,189,simul (prae),"in two or more different positions in (but not around) the phonological host by default, before the host under exceptional conditions (typically lexical)"
223,190,prae,before the phonological host
224,190,in,inside the phonological host
225,190,post,after the phonological host
226,190,simul,"the formative has two exponents at different positions in the phonological host (but it is not the case that one is positioned before and the other after the host, which is coded as “circum”)"
227,190,in/post,"either inside or after the phonological host, conditioned by some structural context (category, syntax etc.)"
228,190,prae/circum,"either before or around the phonological host, conditioned by some structural context (category, syntax etc.)"
229,190,prae/post/circum,"either before, after or around the phonological host, conditioned by some structural context (category, syntax etc.)"
230,191,prae,Marker occurs before its phonological host
231,191,in/simul,Marker occurs inside its phonological host
232,191,post,Marker occurs after its phonological host
233,192,prae,Marker occurs before its phonological host
234,192,in/simul,Marker occurs inside its phonological host
235,192,post,Marker occurs after its phonological host
236,192,split,Marker has multiple parts that occur at different positions
237,193,prae,Marker occurs before its phonological host
238,193,in/simul,Marker occurs inside its phonological host
239,193,post,Marker occurs after its phonological host
240,193,split,Marker has multiple parts that occur at different positions
241,194,prae,Marker occurs before its phonological host
242,194,in/simul,Marker occurs inside its phonological host
243,194,post,Marker occurs after its phonological host
244,194,split,Marker has multiple parts that occur at different positions
245,195,prae,Marker occurs before its phonological host
246,195,in,Marker occurs inside its phonological host
247,195,post,Marker occurs after its phonological host
248,196,prae,Marker occurs before its phonological host
249,196,in,Marker occurs inside its phonological host
250,196,post,Marker occurs after its phonological host
251,196,split,Marker has multiple parts that occur at different positions (before or after)
252,196,simul,Marker has multiple parts that occur at different positions inside the host
253,197,prae,Marker occurs before its phonological host
254,197,post,Marker occurs after its phonological host
255,197,split,Marker has multiple parts that occur at different positions (before or after)
256,197,simul,Marker has multiple parts that occur at different positions inside the host
257,198,prae,Marker occurs before its phonological host
258,198,in,Marker occurs inside its phonological host
259,198,post,Marker occurs after its phonological host
260,198,split,Marker has multiple parts that occur at different positions (before or after)
261,198,simul,Marker has multiple parts that occur at different positions inside the host
262,219,inert,"Not spreading, not stacking. Default for non-phrasal elements."
263,219,spreading,"See Bickel & Nichols, ‘Inflectional morphology’ in Shopen ed., Language Typology and Syntactic Description (CUP 2007)"
264,219,stacking,"See Bickel & Nichols, ‘Inflectional morphology’ in Shopen ed., Language Typology and Syntactic Description, (CUP 2007)"
265,219,final,"Inert and at the end of its domain (e.g. at the end of the clause for TAM markers, or at the end of the NP for case markers)"
266,219,initial,"Inert and at the beginning (first element) of its domain (e.g. at the first element of the clause for TAM markers, or at the beginning of the NP for case markers). Combined with a “post” value in position, a “following” value in Placement, and freedom of hosts, this is a typical Wackernagel clitic."
267,219,on head,"Inert and positioned on the head of its domain: V for TAM, N for case. This is typical for suffixes. Since clitics are typically insensitive to the host category, their placement is regulated by more abstract positions (initial, final, penultimate, pre-initial etc.) rather than the head. “On head” is used only with phrases where the head can vary its position."
268,219,flexible,Inert and freely positioned within its domain (ie. position is not defined with respect to H or D but by something else).
269,220,inert,"Not spreading, not stacking. Default for non-phrasal elements."
270,220,final,"Inert and at the end of its domain (e.g. at the end of the clause for TAM markers, or at the end of the NP for case markers)"
271,220,initial,"Inert and at the beginning (first element) of its domain (e.g. at the first element of the clause for TAM markers, or at the beginning of the NP for case markers). Combined with a “post” value in position, a “following” value in Placement, and freedom of hosts, this is a typical Wackernagel clitic."
272,220,flexible,Inert and freely positioned within its domain (ie. position is not defined with respect to H or D but by something else).
273,221,inert,"Not spreading, not stacking. Default for non-phrasal elements."
274,221,final,"Inert and at the end of its domain (e.g. at the end of the clause for TAM markers, or at the end of the NP for case markers)"
275,221,initial,"Inert and at the beginning (first element) of its domain (e.g. at the first element of the clause for TAM markers, or at the beginning of the NP for case markers). Combined with a “post” value in position, a “following” value in Placement, and freedom of hosts, this is a typical Wackernagel clitic."
276,221,on head,"Inert and positioned on the head of its domain: V for TAM, N for case. This is typical for suffixes. Since clitics are typically insensitive to the host category, their placement is regulated by more abstract positions (initial, final, penultimate, pre-initial etc.) rather than the head. “On head” is used only with phrases where the head can vary its position."
277,221,flexible,Inert and freely positioned within its domain (ie. position is not defined with respect to H or D but by something else).
278,221,on head and final,Simultaneously on head and final.
279,221,on head and initial,Simultaneously on head and initial.
280,222,inert,"Not spreading, not stacking. Default for non-phrasal elements."
281,222,spreading,"See Bickel & Nichols, ‘Inflectional morphology’ in Shopen ed., Language Typology and Syntactic Description (CUP 2007)"
282,222,stacking,"See Bickel & Nichols, ‘Inflectional morphology’ in Shopen ed., Language Typology and Syntactic Description, (CUP 2007)"
283,222,final,"Inert and at the end of its domain (e.g. at the end of the clause for TAM markers, or at the end of the NP for case markers)"
284,222,initial,"Inert and at the beginning (first element) of its domain (e.g. at the first element of the clause for TAM markers, or at the beginning of the NP for case markers). Combined with a “post” value in position, a “following” value in Placement, and freedom of hosts, this is a typical Wackernagel clitic."
285,222,flexible,Inert and freely positioned within its domain (ie. position is not defined with respect to H or D but by something else).
286,223,initial,Inert and at the beginning of its domain
287,223,final,Inert and at the end of its domain
288,223,on head,Inert and positioned on the head of its domain
289,223,spreading,"See Bickel & Nichols, ‘Inflectional morphology’ in Shopen ed., Language Typology and Syntactic Description (CUP 2007)"
290,224,initial,Inert and at the beginning of its domain
291,224,final,Inert and at the end of its domain
292,225,initial,Inert and at the beginning of its domain
293,225,final,Inert and at the end of its domain
294,225,on head,Inert and positioned on the head of its domain
295,226,initial,Inert and at the beginning of its domain
296,226,final,Inert and at the end of its domain
297,226,spreading,"See Bickel & Nichols, ‘Inflectional morphology’ in Shopen ed., Language Typology and Syntactic Description (CUP 2007)"
298,260,D,"On dependent. For zero formative on dependent, code as Ø."
299,260,H+D,Simultaneously (or mostly simultaneously) on head and dependent
300,260,h+D,Dependent marking is dominant. Additional head marking with some verbs only or under specific morphosyntactic conditions as noted.
301,261,H,On head.
302,261,D,"On dependent. For zero formative on dependent, code as Ø."
303,261,H+D,Simultaneously (or mostly simultaneously) on head and dependent
304,261,F,"Free or floating, including particles or similar in phrase-second position (Wackernagel position), e.g. Tagalog ‘linkers’"
305,261,F+D,Simultaneously (or mostly simultaneously) detached and on dependent (e.g. an argument role is marked by both a Wackernagel agreement clitic and case)
306,261,P,The relation is marked by position (word or morpheme order).
307,261,h+D,Dependent marking is dominant. Additional head marking with some verbs only or under specific morphosyntactic conditions as noted.
308,261,H+d,Head marking is dominant. Additional dependent marking with some NPs or under specific morphosyntactic conditions as noted.
309,261,d,Dependent marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
310,261,Ø,No marking
311,261,h,Head marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
312,261,h+d,"Simultaneously on head and dependent, both with restrictions."
313,261,D on H,"Headward-migrated dependent marking. Typical case: Arabic or Irish pronominal agreement, where nouns and independent pronouns are case-marked. (The case itself is dependent marking, but the dependent argument can be realized by agreement morphology on the head. If it is, it absorbs the argument position in the clause and therefore does not allow an independent NP to show up in the same clausal core.)"
314,261,Hh+D,Two head marks (one restricted) plus one dependent.
315,261,H+F,Head plus floating
316,261,F+d,Floating plus restricted dependent marking.
317,262,H,On head.
318,262,D,"On dependent. For zero formative on dependent, code as Ø."
319,262,H+D,Simultaneously (or mostly simultaneously) on head and dependent
320,262,F,"Free or floating, including particles or similar in phrase-second position (Wackernagel position), e.g. Tagalog ‘linkers’"
321,262,F+D,Simultaneously (or mostly simultaneously) detached and on dependent (e.g. an argument role is marked by both a Wackernagel agreement clitic and case)
322,262,P,The relation is marked by position (word or morpheme order).
323,262,h+D,Dependent marking is dominant. Additional head marking with some verbs only or under specific morphosyntactic conditions as noted.
324,262,H+d,Head marking is dominant. Additional dependent marking with some NPs or under specific morphosyntactic conditions as noted.
325,262,d,Dependent marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
326,262,Ø,No marking
327,262,h,Head marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
328,262,h+d,"Simultaneously on head and dependent, both with restrictions."
329,262,Hh+D,Two head marks (one restricted) plus one dependent.
330,262,hh+d,Two restricted H markers and one restricted D marker.
331,262,H+F,Head plus floating
332,262,F+d,Floating plus restricted dependent marking.
333,263,H,On head.
334,263,D,"On dependent. For zero formative on dependent, code as Ø."
335,264,H,On head.
336,264,D,"On dependent. For zero formative on dependent, code as Ø."
337,264,H+D,Simultaneously (or mostly simultaneously) on head and dependent
338,264,F,"Free or floating, including particles or similar in phrase-second position (Wackernagel position), e.g. Tagalog ‘linkers’"
339,264,F+D,Simultaneously (or mostly simultaneously) detached and on dependent (e.g. an argument role is marked by both a Wackernagel agreement clitic and case)
340,264,P,The relation is marked by position (word or morpheme order).
341,264,h+D,Dependent marking is dominant. Additional head marking with some verbs only or under specific morphosyntactic conditions as noted.
342,264,H+d,Head marking is dominant. Additional dependent marking with some NPs or under specific morphosyntactic conditions as noted.
343,264,d,Dependent marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
344,264,Ø,No marking
345,264,h,Head marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
346,264,HH,"On head, with more than one formative or more than one category. Typical case: construct state or linker on head plus head-driven agreement ; or Philippine-style voice plus agreement"
347,264,h+d,"Simultaneously on head and dependent, both with restrictions."
348,264,D on H,"Headward-migrated dependent marking. Typical case: Arabic or Irish pronominal agreement, where nouns and independent pronouns are case-marked. (The case itself is dependent marking, but the dependent argument can be realized by agreement morphology on the head. If it is, it absorbs the argument position in the clause and therefore does not allow an independent NP to show up in the same clausal core.)"
349,264,d on h,"Headward-migrated dependent marking, restricted in some way. Typical cases: Bagirmi or standard French, where there is no case on independent pronouns and nouns, so only pronominal agreement markers are case-marked. As a result, arguments are differentiated only in headward-migrated dependent marking. This marking realizes the dependent argument syntactically and leaves no place for an independent NP to show up in the same clausal core."
350,264,Hh+D,Two head marks (one restricted) plus one dependent.
351,264,f,"Floating, under limited circumstances (e.g. Yagua DOM by floating agreement with definite noun)"
352,265,H,On head.
353,265,D,"On dependent. For zero formative on dependent, code as Ø."
354,265,H+D,Simultaneously (or mostly simultaneously) on head and dependent
355,265,F,"Free or floating, including particles or similar in phrase-second position (Wackernagel position), e.g. Tagalog ‘linkers’"
356,265,H+d,Head marking is dominant. Additional dependent marking with some NPs or under specific morphosyntactic conditions as noted.
357,265,Ø,No marking
358,265,HH,"On head, with more than one formative or more than one category. Typical case: construct state or linker on head plus head-driven agreement ; or Philippine-style voice plus agreement"
359,266,D,"On dependent. For zero formative on dependent, code as Ø."
360,266,H+D,Simultaneously (or mostly simultaneously) on head and dependent
361,266,h+D,Dependent marking is dominant. Additional head marking with some verbs only or under specific morphosyntactic conditions as noted.
362,267,H+D,Simultaneously (or mostly simultaneously) on head and dependent
363,268,H,On head.
364,268,D,"On dependent. For zero formative on dependent, code as Ø."
365,268,H+D,Simultaneously (or mostly simultaneously) on head and dependent
366,268,h+D,Dependent marking is dominant. Additional head marking with some verbs only or under specific morphosyntactic conditions as noted.
367,268,d,Dependent marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
368,268,Ø,No marking
369,268,h,Head marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
370,268,d on h,"Headward-migrated dependent marking, restricted in some way. Typical cases: Bagirmi or standard French, where there is no case on independent pronouns and nouns, so only pronominal agreement markers are case-marked. As a result, arguments are differentiated only in headward-migrated dependent marking. This marking realizes the dependent argument syntactically and leaves no place for an independent NP to show up in the same clausal core."
371,269,H,On head.
372,269,D,"On dependent. For zero formative on dependent, code as Ø."
373,269,H+D,Simultaneously (or mostly simultaneously) on head and dependent
374,269,h+D,Dependent marking is dominant. Additional head marking with some verbs only or under specific morphosyntactic conditions as noted.
375,269,H+d,Head marking is dominant. Additional dependent marking with some NPs or under specific morphosyntactic conditions as noted.
376,269,d,Dependent marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
377,269,Ø,No marking
378,269,h,Head marking that is available only on a limited set of NPs or under specific morphosyntactic conditions as noted.
379,269,HH,"On head, with more than one formative or more than one category. Typical case: construct state or linker on head plus head-driven agreement ; or Philippine-style voice plus agreement"
