"LID","CoArgSensitivityAgr.Presence","VAgreement.Presence.v1","CoArgSensitivityCase.Presence"
206,,TRUE,
210,,FALSE,FALSE
211,,TRUE,FALSE
223,,TRUE,FALSE
225,,FALSE,FALSE
317,,TRUE,FALSE
318,,TRUE,FALSE
319,,TRUE,FALSE
320,,FALSE,
3069,,TRUE,
323,,TRUE,FALSE
324,,TRUE,FALSE
325,,TRUE,FALSE
328,,TRUE,FALSE
331,,TRUE,FALSE
332,FALSE,TRUE,FALSE
333,,FALSE,FALSE
337,FALSE,TRUE,FALSE
339,,FALSE,FALSE
340,FALSE,TRUE,FALSE
343,,TRUE,FALSE
344,,TRUE,FALSE
345,,TRUE,FALSE
347,,TRUE,FALSE
348,,TRUE,FALSE
349,,TRUE,FALSE
351,,TRUE,FALSE
352,,TRUE,FALSE
354,,TRUE,FALSE
355,,TRUE,FALSE
356,,TRUE,FALSE
358,,TRUE,FALSE
359,,TRUE,FALSE
361,FALSE,TRUE,FALSE
362,,TRUE,TRUE
364,,TRUE,FALSE
365,,TRUE,FALSE
369,,TRUE,FALSE
371,,TRUE,
372,,TRUE,FALSE
373,FALSE,TRUE,FALSE
374,,FALSE,FALSE
377,,TRUE,FALSE
378,,TRUE,FALSE
379,,TRUE,FALSE
383,,FALSE,FALSE
384,FALSE,TRUE,FALSE
385,,FALSE,FALSE
386,,TRUE,FALSE
387,FALSE,TRUE,FALSE
388,FALSE,TRUE,FALSE
390,,TRUE,FALSE
391,,FALSE,FALSE
393,FALSE,TRUE,FALSE
398,,FALSE,FALSE
402,,TRUE,
403,,FALSE,FALSE
404,,TRUE,FALSE
407,FALSE,TRUE,FALSE
408,,TRUE,FALSE
409,,TRUE,FALSE
414,,TRUE,FALSE
416,,FALSE,FALSE
419,,FALSE,FALSE
421,,FALSE,FALSE
422,,TRUE,FALSE
424,,TRUE,FALSE
428,,TRUE,TRUE
429,FALSE,TRUE,FALSE
433,,TRUE,FALSE
434,,,FALSE
437,,TRUE,FALSE
438,,TRUE,FALSE
443,,FALSE,FALSE
444,,TRUE,FALSE
456,FALSE,TRUE,FALSE
460,FALSE,TRUE,FALSE
463,,FALSE,FALSE
465,,TRUE,FALSE
466,FALSE,TRUE,FALSE
468,,TRUE,FALSE
469,,TRUE,FALSE
471,,TRUE,FALSE
475,,TRUE,FALSE
488,,FALSE,FALSE
492,,TRUE,FALSE
493,,TRUE,FALSE
497,,FALSE,FALSE
499,FALSE,TRUE,FALSE
502,FALSE,TRUE,FALSE
503,,FALSE,FALSE
514,,TRUE,FALSE
516,,FALSE,FALSE
518,FALSE,TRUE,FALSE
523,,,FALSE
526,,FALSE,FALSE
527,,TRUE,FALSE
528,,FALSE,FALSE
530,,TRUE,FALSE
531,,FALSE,FALSE
535,,TRUE,FALSE
540,FALSE,TRUE,FALSE
546,,FALSE,FALSE
550,FALSE,TRUE,FALSE
558,FALSE,TRUE,FALSE
559,FALSE,TRUE,FALSE
567,,TRUE,FALSE
568,,FALSE,FALSE
569,,TRUE,FALSE
571,FALSE,TRUE,FALSE
572,FALSE,TRUE,FALSE
576,,TRUE,FALSE
580,,FALSE,FALSE
581,,TRUE,FALSE
608,,TRUE,FALSE
614,,FALSE,FALSE
629,,FALSE,FALSE
632,TRUE,TRUE,FALSE
634,,TRUE,FALSE
635,,TRUE,FALSE
637,TRUE,TRUE,FALSE
640,,,FALSE
642,FALSE,TRUE,FALSE
645,FALSE,TRUE,FALSE
648,FALSE,TRUE,FALSE
649,,FALSE,FALSE
654,,TRUE,FALSE
656,,TRUE,FALSE
658,,TRUE,FALSE
659,,TRUE,FALSE
660,,FALSE,FALSE
662,,FALSE,FALSE
663,,TRUE,FALSE
664,,TRUE,FALSE
667,TRUE,TRUE,FALSE
669,,TRUE,FALSE
673,,TRUE,FALSE
674,TRUE,TRUE,FALSE
676,,TRUE,FALSE
2471,,TRUE,FALSE
681,FALSE,TRUE,FALSE
682,FALSE,TRUE,FALSE
686,,TRUE,FALSE
687,,TRUE,FALSE
689,,TRUE,
725,,TRUE,FALSE
726,,TRUE,FALSE
727,,TRUE,FALSE
740,,TRUE,FALSE
124,,,FALSE
752,,FALSE,FALSE
785,,,FALSE
791,FALSE,TRUE,FALSE
808,,,FALSE
815,,,FALSE
824,,TRUE,FALSE
842,,TRUE,FALSE
844,,FALSE,FALSE
872,,TRUE,FALSE
879,,,FALSE
883,,FALSE,FALSE
908,TRUE,TRUE,FALSE
918,,FALSE,FALSE
956,FALSE,TRUE,FALSE
957,,,FALSE
968,,,FALSE
970,,TRUE,FALSE
1010,FALSE,TRUE,FALSE
1036,TRUE,TRUE,
1042,,TRUE,FALSE
1053,,TRUE,FALSE
1056,,TRUE,FALSE
1063,FALSE,TRUE,FALSE
1067,,FALSE,FALSE
1094,FALSE,TRUE,FALSE
1099,,FALSE,FALSE
1103,,TRUE,FALSE
1108,,TRUE,FALSE
1116,,TRUE,FALSE
1129,,FALSE,FALSE
1130,,TRUE,FALSE
1134,,TRUE,FALSE
1142,TRUE,TRUE,FALSE
1146,,FALSE,FALSE
1169,,TRUE,FALSE
1172,,FALSE,FALSE
1177,,TRUE,FALSE
1183,,,FALSE
1262,,,FALSE
1263,,TRUE,FALSE
1272,,TRUE,FALSE
1276,,TRUE,FALSE
1277,,TRUE,
1293,,FALSE,FALSE
1323,,TRUE,FALSE
1333,,FALSE,FALSE
1335,,FALSE,FALSE
1343,,FALSE,FALSE
1348,FALSE,TRUE,FALSE
1364,FALSE,TRUE,FALSE
1439,TRUE,TRUE,FALSE
1467,,TRUE,
1473,,FALSE,FALSE
1492,,FALSE,FALSE
1505,,FALSE,FALSE
1511,,FALSE,FALSE
1531,,TRUE,FALSE
1533,,FALSE,FALSE
1536,,,FALSE
1556,,,FALSE
1573,,FALSE,FALSE
1577,,TRUE,FALSE
1597,,FALSE,FALSE
1600,,TRUE,FALSE
1623,,TRUE,FALSE
1628,,FALSE,FALSE
1644,,,FALSE
1650,,,FALSE
1671,,FALSE,FALSE
1682,,TRUE,FALSE
1691,,TRUE,FALSE
1692,,FALSE,FALSE
1703,,,FALSE
1739,,TRUE,FALSE
1744,,FALSE,FALSE
1763,FALSE,TRUE,FALSE
1772,,,FALSE
1775,TRUE,TRUE,FALSE
1778,,,FALSE
1826,,,FALSE
1827,,TRUE,FALSE
1887,,TRUE,FALSE
1914,,TRUE,FALSE
1947,,TRUE,FALSE
1949,,,FALSE
1952,,,FALSE
1961,,TRUE,FALSE
1964,,FALSE,FALSE
2016,,FALSE,FALSE
2035,,,FALSE
2054,,TRUE,FALSE
2063,FALSE,TRUE,FALSE
2081,,TRUE,FALSE
2096,,FALSE,FALSE
2144,,,FALSE
2173,,TRUE,FALSE
2194,,FALSE,FALSE
2210,,FALSE,FALSE
2225,,,FALSE
2227,,TRUE,FALSE
2233,,FALSE,FALSE
2271,,,FALSE
2289,,,FALSE
2291,,,FALSE
2308,,,FALSE
2322,,,FALSE
2360,TRUE,TRUE,FALSE
2371,,FALSE,FALSE
2416,,TRUE,FALSE
2417,,TRUE,FALSE
2514,,TRUE,FALSE
2536,,TRUE,FALSE
2537,,TRUE,FALSE
2539,,TRUE,FALSE
2544,FALSE,TRUE,FALSE
2554,,,FALSE
2562,FALSE,TRUE,FALSE
2586,,TRUE,FALSE
2591,,TRUE,FALSE
2641,TRUE,TRUE,FALSE
2645,,FALSE,FALSE
2657,FALSE,TRUE,FALSE
2662,,TRUE,FALSE
2666,,TRUE,TRUE
2681,,TRUE,FALSE
2690,,TRUE,FALSE
2706,,,FALSE
2722,,,FALSE
2723,,,FALSE
2761,,,FALSE
2770,,TRUE,FALSE
2790,,FALSE,FALSE
2797,,TRUE,TRUE
2801,,FALSE,FALSE
2814,,TRUE,FALSE
2828,,FALSE,FALSE
2862,TRUE,TRUE,FALSE
2863,TRUE,TRUE,FALSE
2871,,FALSE,FALSE
61,,,FALSE
2873,TRUE,TRUE,FALSE
2878,,FALSE,FALSE
2882,FALSE,TRUE,FALSE
2883,,TRUE,FALSE
2885,,TRUE,FALSE
2886,,TRUE,FALSE
2897,,TRUE,FALSE
2900,,TRUE,FALSE
2903,,,FALSE
2904,,FALSE,FALSE
2918,,TRUE,FALSE
2919,,TRUE,FALSE
2920,,,FALSE
2922,,TRUE,FALSE
2923,,,FALSE
2924,,,FALSE
2925,,,FALSE
2927,,,FALSE
2929,,,FALSE
2930,,TRUE,FALSE
2934,,FALSE,FALSE
2935,,TRUE,FALSE
2939,,FALSE,FALSE
2943,,TRUE,FALSE
2951,FALSE,TRUE,FALSE
2954,,TRUE,FALSE
2958,,TRUE,FALSE
2969,,TRUE,FALSE
2971,,,FALSE
2972,,TRUE,FALSE
2973,FALSE,TRUE,FALSE
2975,,TRUE,FALSE
2980,TRUE,TRUE,FALSE
533,FALSE,TRUE,FALSE
2983,,FALSE,FALSE
2982,FALSE,TRUE,FALSE
480,FALSE,TRUE,FALSE
357,,,FALSE
367,,TRUE,FALSE
2984,FALSE,TRUE,FALSE
228,,TRUE,FALSE
722,,TRUE,FALSE
2031,FALSE,TRUE,FALSE
2402,,FALSE,FALSE
2434,,TRUE,FALSE
2989,,FALSE,FALSE
2990,,FALSE,FALSE
1014,FALSE,TRUE,FALSE
555,,TRUE,FALSE
2500,,TRUE,FALSE
2992,,TRUE,FALSE
718,,FALSE,FALSE
426,,TRUE,FALSE
2259,,TRUE,FALSE
871,FALSE,TRUE,FALSE
1255,,TRUE,FALSE
2007,,,FALSE
618,,TRUE,FALSE
1176,,,FALSE
1136,FALSE,TRUE,FALSE
1143,,TRUE,FALSE
1155,,TRUE,FALSE
1660,FALSE,TRUE,FALSE
2993,,TRUE,FALSE
995,,TRUE,FALSE
2564,,,FALSE
1621,,TRUE,FALSE
322,FALSE,TRUE,FALSE
2513,,TRUE,FALSE
2831,,TRUE,FALSE
738,,TRUE,FALSE
1468,,FALSE,FALSE
853,,TRUE,TRUE
2997,TRUE,TRUE,FALSE
2865,TRUE,TRUE,FALSE
2998,TRUE,TRUE,
2359,,,FALSE
1999,,TRUE,FALSE
1528,,FALSE,FALSE
3006,,TRUE,FALSE
923,TRUE,TRUE,FALSE
144,,FALSE,FALSE
2455,,FALSE,FALSE
1989,,FALSE,FALSE
2498,,FALSE,FALSE
1645,FALSE,TRUE,FALSE
1261,,TRUE,FALSE
643,,FALSE,FALSE
3009,,TRUE,FALSE
2453,FALSE,TRUE,FALSE
2124,,TRUE,FALSE
2306,,TRUE,FALSE
3010,TRUE,TRUE,
2999,TRUE,TRUE,
3007,TRUE,TRUE,
2956,TRUE,TRUE,
2996,TRUE,TRUE,
2001,TRUE,TRUE,
1973,TRUE,TRUE,
563,TRUE,TRUE,
1896,,FALSE,FALSE
2974,,FALSE,FALSE
2638,,FALSE,FALSE
3012,,TRUE,FALSE
112,,FALSE,FALSE
3024,,TRUE,FALSE
1105,FALSE,TRUE,FALSE
1508,,FALSE,FALSE
2987,FALSE,TRUE,FALSE
3018,FALSE,TRUE,FALSE
2617,,FALSE,FALSE
1234,,FALSE,FALSE
1388,,TRUE,FALSE
3032,,FALSE,FALSE
763,,FALSE,FALSE
2244,TRUE,TRUE,
2551,TRUE,TRUE,
3038,,TRUE,FALSE
2668,TRUE,TRUE,
1144,,TRUE,FALSE
1750,FALSE,TRUE,FALSE
494,,FALSE,FALSE
512,,TRUE,FALSE
2047,,FALSE,FALSE
3040,FALSE,TRUE,FALSE
3039,FALSE,TRUE,FALSE
2148,,FALSE,FALSE
3042,FALSE,TRUE,FALSE
750,FALSE,TRUE,FALSE
2093,,FALSE,FALSE
885,FALSE,TRUE,FALSE
3044,FALSE,TRUE,FALSE
3045,,FALSE,FALSE
3046,,FALSE,FALSE
534,,TRUE,FALSE
583,FALSE,TRUE,FALSE
1751,,TRUE,FALSE
1542,,TRUE,FALSE
2150,FALSE,TRUE,FALSE
1054,,FALSE,FALSE
1095,FALSE,TRUE,FALSE
1059,,FALSE,FALSE
2102,,FALSE,FALSE
1487,,FALSE,FALSE
2285,,FALSE,FALSE
2015,,FALSE,FALSE
1058,,FALSE,FALSE
1991,,FALSE,FALSE
2218,,FALSE,FALSE
2153,,TRUE,FALSE
1702,,FALSE,FALSE
1414,FALSE,TRUE,FALSE
2628,FALSE,TRUE,FALSE
1791,,TRUE,FALSE
2098,FALSE,TRUE,FALSE
1413,FALSE,TRUE,FALSE
2268,,FALSE,FALSE
2607,,FALSE,FALSE
3022,,FALSE,FALSE
3047,,FALSE,FALSE
3049,,FALSE,FALSE
1128,,TRUE,FALSE
1264,,FALSE,FALSE
679,FALSE,TRUE,FALSE
717,,TRUE,FALSE
2172,FALSE,TRUE,FALSE
2132,,TRUE,FALSE
299,FALSE,TRUE,FALSE
2029,FALSE,TRUE,FALSE
1018,,FALSE,FALSE
894,,TRUE,FALSE
3051,,TRUE,FALSE
2727,,,FALSE
2255,,TRUE,FALSE
3058,,,FALSE
486,,FALSE,FALSE
2667,,TRUE,FALSE
3059,,TRUE,FALSE
3060,,TRUE,FALSE
1944,,TRUE,FALSE
536,FALSE,TRUE,FALSE
1578,FALSE,TRUE,FALSE
3064,,TRUE,FALSE
3062,FALSE,TRUE,FALSE
2729,,TRUE,FALSE
3063,,TRUE,FALSE
2391,,TRUE,FALSE
2189,FALSE,TRUE,FALSE
2169,,TRUE,FALSE
655,,TRUE,FALSE
3054,,TRUE,FALSE
1835,,TRUE,FALSE
1810,,TRUE,FALSE
209,,TRUE,FALSE
904,,TRUE,FALSE
1806,,TRUE,FALSE
3052,,TRUE,FALSE
2028,FALSE,TRUE,FALSE
2190,,FALSE,FALSE
3053,FALSE,TRUE,FALSE
1954,FALSE,TRUE,FALSE
3068,TRUE,TRUE,
851,FALSE,TRUE,FALSE
2557,,TRUE,FALSE
2869,FALSE,TRUE,FALSE
848,,TRUE,FALSE
1517,,TRUE,FALSE
2580,FALSE,TRUE,FALSE
3070,FALSE,TRUE,FALSE
3072,,FALSE,FALSE
1743,,FALSE,FALSE
938,,,FALSE
943,,TRUE,FALSE
2251,FALSE,TRUE,FALSE
3075,FALSE,TRUE,FALSE
2072,,TRUE,FALSE
1518,FALSE,TRUE,FALSE
2290,,TRUE,FALSE
3081,,TRUE,FALSE
1709,,TRUE,FALSE
2848,FALSE,TRUE,FALSE
417,,TRUE,FALSE
820,FALSE,TRUE,FALSE
2736,,TRUE,FALSE
1523,,TRUE,FALSE
3085,,FALSE,FALSE
1784,,FALSE,FALSE
2335,FALSE,TRUE,FALSE
945,,TRUE,
2707,,TRUE,FALSE
865,,TRUE,
1302,,TRUE,FALSE
3015,,TRUE,FALSE
2772,FALSE,TRUE,FALSE
915,,TRUE,FALSE
2459,,,FALSE
688,FALSE,TRUE,FALSE
1416,FALSE,TRUE,FALSE
2548,TRUE,TRUE,FALSE
3092,FALSE,TRUE,FALSE
3093,FALSE,TRUE,FALSE
3096,FALSE,TRUE,FALSE
3095,FALSE,TRUE,FALSE
3028,,TRUE,FALSE
3099,,TRUE,
1816,,TRUE,FALSE
1011,,TRUE,
1007,,TRUE,
549,FALSE,TRUE,FALSE
2447,FALSE,TRUE,
3117,FALSE,TRUE,
2864,,,FALSE
2695,,TRUE,FALSE
3206,,TRUE,FALSE
616,,TRUE,FALSE
2060,,TRUE,FALSE
515,,,FALSE
505,,TRUE,FALSE
500,,FALSE,FALSE
1257,,TRUE,FALSE
2209,,,FALSE
2313,,,FALSE
1902,,,FALSE
504,,,FALSE
140,,TRUE,FALSE
399,,,FALSE
454,,,FALSE
1940,,TRUE,FALSE
2556,,TRUE,FALSE
1833,,,FALSE
495,,,FALSE
401,,,FALSE
2023,,,FALSE
2726,,TRUE,FALSE
3213,,TRUE,
89,,TRUE,FALSE
90,,,FALSE
748,,,FALSE
678,FALSE,TRUE,FALSE
686,,TRUE,FALSE
2832,,TRUE,FALSE
1704,TRUE,TRUE,
3249,TRUE,TRUE,
464,,TRUE,FALSE
2893,,TRUE,FALSE
2854,,TRUE,FALSE
2476,TRUE,TRUE,
3250,TRUE,TRUE,
3269,TRUE,TRUE,
3261,TRUE,TRUE,
1569,TRUE,TRUE,
