"LID","VAgrA.Post.Presence","VAgrP.Post.Presence","VAgrPOSS.Post.Presence"
420,FALSE,FALSE,
421,,FALSE,
423,TRUE,,
426,TRUE,FALSE,
428,TRUE,TRUE,
429,TRUE,FALSE,
433,,FALSE,
435,TRUE,,
438,FALSE,,
454,FALSE,FALSE,
456,TRUE,TRUE,
458,FALSE,FALSE,FALSE
460,FALSE,FALSE,
461,FALSE,FALSE,
463,TRUE,,
464,TRUE,FALSE,
465,FALSE,FALSE,
468,TRUE,,
469,TRUE,TRUE,
481,TRUE,TRUE,
491,TRUE,,
492,FALSE,FALSE,
495,FALSE,,
498,FALSE,TRUE,
499,FALSE,TRUE,
502,TRUE,,
505,TRUE,TRUE,
505,,FALSE,
511,TRUE,TRUE,
512,FALSE,TRUE,
514,TRUE,TRUE,
515,FALSE,TRUE,
518,TRUE,,
525,TRUE,FALSE,
527,TRUE,,
530,,FALSE,
533,TRUE,,
535,TRUE,,
540,FALSE,,
545,FALSE,,
549,TRUE,,
550,FALSE,FALSE,
551,FALSE,,
553,FALSE,FALSE,
553,,TRUE,
558,TRUE,TRUE,
569,TRUE,FALSE,
571,TRUE,FALSE,
576,TRUE,TRUE,
577,FALSE,FALSE,FALSE
581,FALSE,FALSE,
582,FALSE,TRUE,
583,TRUE,TRUE,
608,TRUE,,
612,TRUE,TRUE,
619,FALSE,FALSE,
626,TRUE,TRUE,
628,TRUE,,
632,TRUE,TRUE,
633,TRUE,TRUE,
634,TRUE,,
635,,TRUE,TRUE
641,TRUE,,
642,TRUE,TRUE,
644,FALSE,,
645,FALSE,,
648,,FALSE,
654,FALSE,TRUE,
655,FALSE,FALSE,
656,TRUE,,
658,FALSE,FALSE,
663,TRUE,TRUE,
664,TRUE,TRUE,
667,TRUE,TRUE,
668,TRUE,TRUE,
669,TRUE,FALSE,
674,TRUE,TRUE,
675,FALSE,FALSE,
678,TRUE,FALSE,
679,TRUE,,
680,TRUE,TRUE,
681,TRUE,TRUE,
683,TRUE,FALSE,
686,TRUE,TRUE,
687,TRUE,TRUE,
688,FALSE,FALSE,
689,TRUE,,
692,FALSE,FALSE,
693,FALSE,FALSE,
699,TRUE,,
700,TRUE,,
701,TRUE,,
703,TRUE,,
709,FALSE,,
710,TRUE,,
722,TRUE,TRUE,
723,TRUE,,
725,TRUE,FALSE,
726,TRUE,FALSE,
727,TRUE,FALSE,
735,TRUE,TRUE,
780,TRUE,TRUE,
786,TRUE,,
790,TRUE,,
838,TRUE,,
885,FALSE,TRUE,
917,,FALSE,
942,,FALSE,
975,FALSE,TRUE,TRUE
1004,TRUE,TRUE,
1067,TRUE,,
1108,FALSE,FALSE,
1130,TRUE,,
1140,FALSE,FALSE,
1203,TRUE,TRUE,
1317,TRUE,TRUE,
1363,FALSE,TRUE,
1376,TRUE,TRUE,
1385,TRUE,TRUE,
1388,TRUE,,
1395,TRUE,,
1399,TRUE,TRUE,
1440,TRUE,,
1480,FALSE,,
1531,,FALSE,
1542,,FALSE,
1623,TRUE,TRUE,
1694,TRUE,TRUE,
1775,TRUE,TRUE,
1778,TRUE,TRUE,
1807,,FALSE,
1816,,FALSE,
1840,,FALSE,
1890,TRUE,,
1914,TRUE,TRUE,
1954,TRUE,FALSE,
2020,,FALSE,
2024,TRUE,FALSE,
2050,TRUE,TRUE,
2120,TRUE,TRUE,
2172,TRUE,TRUE,
2217,TRUE,TRUE,
2330,TRUE,,
2360,TRUE,TRUE,
2388,,FALSE,
2393,TRUE,TRUE,
2412,FALSE,FALSE,
2447,TRUE,,
2471,TRUE,,
2508,FALSE,,
2513,FALSE,,
2514,FALSE,FALSE,
2563,TRUE,TRUE,
2564,TRUE,TRUE,
2572,,FALSE,
2657,TRUE,,
2662,TRUE,,
2672,TRUE,TRUE,
2716,TRUE,,
2779,FALSE,TRUE,
2826,TRUE,FALSE,
2831,TRUE,,
2832,TRUE,,
2833,TRUE,,
2854,TRUE,,
2855,TRUE,,
2856,TRUE,,
2873,TRUE,FALSE,
2893,TRUE,,
2900,TRUE,,
2936,TRUE,,
2949,FALSE,FALSE,
2951,FALSE,FALSE,
2984,TRUE,TRUE,
2984,,FALSE,
2987,TRUE,,
3006,TRUE,,
3015,FALSE,,
3101,TRUE,TRUE,
3143,TRUE,,
3173,TRUE,TRUE,
3213,TRUE,TRUE,
3229,TRUE,FALSE,
3239,TRUE,FALSE,
3240,FALSE,TRUE,
3272,TRUE,,
3278,TRUE,FALSE,
3311,FALSE,TRUE,
3312,TRUE,,
3313,,TRUE,
3326,FALSE,TRUE,
3331,FALSE,FALSE,
