"LID","VInflClassification.Post.Presence","VInflEvidential.Post.Presence","VInflInter_clausal.Post.Presence","VInflNP_related.Post.Presence","VInflNumber.Post.Presence","VInflOperators.Post.Presence","VInflPerson.Post.Presence","VInflPragmatic.Post.Presence","VInflRole.Post.Presence","VInflTAM.Post.Presence","VInflValence.Post.Presence"
461,,,,,TRUE,,,,,TRUE,
463,,,,,,FALSE,,,,TRUE,
464,,,,,,,,,,TRUE,TRUE
468,,,,,,FALSE,,,,TRUE,TRUE
469,,,,,TRUE,TRUE,,,,TRUE,
481,,,,,TRUE,,,FALSE,,TRUE,TRUE
481,,,,,,,,,,,FALSE
491,,,,,,,,FALSE,,FALSE,FALSE
495,,,,,,,,,,FALSE,TRUE
498,,,,,TRUE,FALSE,,FALSE,,FALSE,FALSE
498,,,,,,,,TRUE,,,
499,,,,,,,,TRUE,,FALSE,
501,,,,,,TRUE,,,,TRUE,
511,,,,,,,,,,TRUE,TRUE
514,,,,,TRUE,TRUE,,,,TRUE,TRUE
515,,,,,,TRUE,,,,FALSE,
515,,,,,,,,,,TRUE,
526,,,,,TRUE,TRUE,,TRUE,,TRUE,
527,,,,,TRUE,,,,,TRUE,TRUE
528,,,,,TRUE,TRUE,,,,TRUE,
530,,,,,,TRUE,TRUE,,,TRUE,
533,,,,,,TRUE,,,,TRUE,
540,,,,,,FALSE,,,,FALSE,
540,,,,,,,,,,TRUE,
545,,,,,,FALSE,,TRUE,,FALSE,
549,,,,,,FALSE,,,,FALSE,TRUE
549,,,,,,,,,,TRUE,
551,,,,,,,,,,FALSE,
552,,,,,,FALSE,,,,TRUE,
558,,,,,,FALSE,,,,TRUE,
567,,TRUE,,,TRUE,TRUE,,,,TRUE,
568,,,,,TRUE,,,,,,
568,,,,,,,,,,TRUE,
569,,,,,,,,,,TRUE,
571,,,,,,FALSE,,,,FALSE,
580,,,,,,,,TRUE,,FALSE,TRUE
580,,,,,,,,,,TRUE,
581,,,,,,,,,,FALSE,FALSE
581,,,,,,,,,,TRUE,TRUE
582,,,,,,,,TRUE,,TRUE,TRUE
608,,,,,,,,,,TRUE,TRUE
612,,,,,TRUE,TRUE,,,,TRUE,TRUE
619,,,,,,,,,,TRUE,TRUE
619,,,,,,,,,,FALSE,
620,,,,,,,,TRUE,,FALSE,TRUE
620,,,,,,,,,,TRUE,
626,,,,,,TRUE,,,,TRUE,
628,,TRUE,,,,TRUE,,,,TRUE,TRUE
629,,,,,,FALSE,,,,TRUE,
632,,,,,,,,,,TRUE,
633,,,,,,,,,,TRUE,TRUE
635,,,,,,,,,,TRUE,TRUE
641,,,,,,TRUE,,,,TRUE,TRUE
642,,,,,,FALSE,,,,FALSE,FALSE
643,,,,,TRUE,FALSE,,,,TRUE,
646,,,,,,TRUE,,,,TRUE,
648,,,,,,TRUE,,,,TRUE,
654,,,,TRUE,,,,,,FALSE,
655,,,,,FALSE,,,FALSE,,FALSE,FALSE
655,,,,,,,,,,TRUE,TRUE
656,,,TRUE,,,FALSE,,,,,
656,,,,,,,,,,TRUE,
658,,,,,,,,,,FALSE,FALSE
658,,,,,,,,,,TRUE,
662,,,,,,,,,,TRUE,TRUE
663,,TRUE,,,,FALSE,,TRUE,,FALSE,FALSE
663,,,,,,,,,,TRUE,
664,,,,,,FALSE,,,,FALSE,
664,,,,,,,,,,TRUE,
667,,,,TRUE,,FALSE,,,,TRUE,
668,,,,,,,,,,FALSE,
668,,,,,,,,,,TRUE,
669,,,,,,,,,,TRUE,
672,,,,,,FALSE,,,,TRUE,
674,,,,,,TRUE,,,,TRUE,
675,,TRUE,,,,FALSE,,FALSE,,FALSE,FALSE
675,,,,,,,,,,TRUE,
677,,,,,,,,,,TRUE,TRUE
678,,,,,,TRUE,,,,TRUE,
679,,,,,,,,,,TRUE,TRUE
680,,,,,,,,TRUE,,TRUE,TRUE
681,,,,,,,,TRUE,,TRUE,TRUE
683,,,,,,,,,,TRUE,TRUE
685,,,,,FALSE,,,,,TRUE,FALSE
685,,,,,TRUE,,,,,,
686,,,,,TRUE,,,,,TRUE,
687,,,,,,,,,,TRUE,TRUE
688,,,,,FALSE,,,,,TRUE,FALSE
688,,,,,,,,,,FALSE,TRUE
689,,TRUE,,,TRUE,,,,,TRUE,TRUE
690,,,,,,FALSE,,,,,TRUE
691,,,,,,FALSE,,TRUE,,TRUE,
692,,,,,FALSE,,,TRUE,,FALSE,
692,,,,,,,,,,TRUE,
693,TRUE,,,,,,,,,TRUE,
699,,,,,,,,,,TRUE,
700,,,,,,FALSE,,,,TRUE,TRUE
701,,,,,,,,,,TRUE,TRUE
703,,,,,,TRUE,,,,,TRUE
709,,,,,,FALSE,,,,TRUE,TRUE
710,,,,,,,,,,TRUE,
722,,,,,,FALSE,,,,FALSE,
722,,,,,,,,,,TRUE,
723,,,,,,FALSE,,,,,
723,,,,,,,,,,TRUE,
724,,,,,,FALSE,,,,TRUE,
725,,,,,,,,,,TRUE,FALSE
730,,,,,,,,,,TRUE,
735,,,,,,TRUE,,,,TRUE,
767,,TRUE,,,,TRUE,,,,TRUE,
780,,,,,FALSE,TRUE,,,,TRUE,TRUE
786,,,,,,FALSE,,,,TRUE,TRUE
790,,,,,,,,,,TRUE,
838,,,,,,FALSE,,,,,
838,,,,,,,,,,TRUE,
844,,,,,,,,,,FALSE,
885,,,,,TRUE,TRUE,,TRUE,,TRUE,FALSE
885,,,,,,,,,,,TRUE
917,,,,,,TRUE,,,,,
942,,,,,,TRUE,,,,TRUE,
975,,,TRUE,,,,,,,FALSE,FALSE
975,,,,,,,,,,TRUE,TRUE
1004,,TRUE,,,,FALSE,,,,TRUE,TRUE
1067,,,,,,,,,,TRUE,
1108,,,,,FALSE,,,TRUE,,FALSE,FALSE
1108,,,,,,,,,,TRUE,
1130,,,,,,,,,,TRUE,
1140,,,,,,,,,,TRUE,FALSE
1140,,,,,,,,,,,TRUE
1203,,TRUE,,,FALSE,,,,,TRUE,
1203,,,,,TRUE,,,,,,
1317,,,,,,FALSE,,,,TRUE,
1363,,,,,FALSE,,,,,TRUE,
1363,,,,,TRUE,,,,,,
1364,,,,,,,,TRUE,,TRUE,
1376,,,,,,TRUE,,,,TRUE,
1385,,,,,TRUE,,,TRUE,,TRUE,TRUE
1388,,,,,,FALSE,,,,TRUE,TRUE
1395,,,,,,,,,,TRUE,
1399,,TRUE,,,,,,,,TRUE,TRUE
1399,,,,,,,,,,FALSE,
1440,,,,,,,,,,TRUE,
1480,,TRUE,,,,TRUE,,,,TRUE,TRUE
1531,,,TRUE,,,TRUE,,,,TRUE,TRUE
1542,,TRUE,,,,TRUE,,,,TRUE,
1623,,,,,,,,,TRUE,TRUE,TRUE
1694,,,,,,FALSE,,TRUE,,FALSE,
1765,,,,,,,,,,FALSE,
1772,,,,,,,,,,TRUE,TRUE
1775,,,,,,FALSE,,,,TRUE,
1778,,,,,,FALSE,,,,TRUE,
1807,,TRUE,,,,,,,,TRUE,TRUE
1816,,,,,,TRUE,,,,,
1840,,,,,,TRUE,,,,TRUE,
1889,,,,,,FALSE,,,,,
1890,,,,,,,,,,TRUE,
1914,,,,,,TRUE,,FALSE,,TRUE,
1954,,TRUE,TRUE,TRUE,,FALSE,,,,TRUE,
1964,,TRUE,,,,TRUE,,,,TRUE,TRUE
2015,,,,,TRUE,TRUE,,,,TRUE,TRUE
2020,,,,FALSE,,TRUE,,,,TRUE,FALSE
2024,,,,,,FALSE,,,,TRUE,
2024,,,,,,,,,,FALSE,
2050,,,,,TRUE,FALSE,,,,FALSE,FALSE
2081,,,,,,,,,,TRUE,TRUE
2172,,TRUE,,,,,,,,,TRUE
2172,,,,,,,,,,TRUE,
2180,,,,,,TRUE,,,,TRUE,FALSE
2186,,,,,,TRUE,,,,TRUE,
2196,,,,,,FALSE,,,,TRUE,
2217,,,,,,,,FALSE,FALSE,TRUE,
2330,,,,,,FALSE,,,,TRUE,TRUE
2360,,,TRUE,,,FALSE,,,,TRUE,
2388,,,,,,TRUE,,,,,
2388,,,,,,,,,,TRUE,
2393,,,,,,,,,,FALSE,TRUE
2393,,,,,,,,,,TRUE,
2412,,TRUE,,,,FALSE,,FALSE,,FALSE,FALSE
2412,,,TRUE,,,,,,,,
2447,,,,,,FALSE,,,,TRUE,
2456,,,TRUE,,,,,TRUE,,TRUE,
2471,,,,,,,,,,TRUE,
2508,,,,,,TRUE,,,,TRUE,
2513,,,TRUE,,,FALSE,,,,TRUE,TRUE
2514,,TRUE,TRUE,,,TRUE,,,,TRUE,
2514,,,,,,,,,,FALSE,TRUE
2514,,,,,,,,,,,FALSE
2564,,,,,TRUE,,,,TRUE,FALSE,TRUE
2564,,,,,,,,,,TRUE,
2572,,TRUE,,,,,,,,TRUE,TRUE
2577,,,,,,,,,,,TRUE
2617,,,,,,FALSE,,,,TRUE,
2657,,,,,,,,,,TRUE,TRUE
2662,,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE
2672,,,,,,,,,,TRUE,
2716,,,,,,FALSE,,,,TRUE,
2824,,,,,,TRUE,,,,,
2824,,,,,,,,,,TRUE,
2826,,TRUE,,,,FALSE,,FALSE,TRUE,,TRUE
2826,,,,,,,,,,TRUE,
2828,,,,,,TRUE,,,,TRUE,
2831,,,,,,,,,,TRUE,
2831,,,,,,,,,,FALSE,
2832,,,,,,,,,,TRUE,
2833,,,,,,,,,,TRUE,
2854,,,,,,,,,,TRUE,
2855,,,,,,,,,,TRUE,
2856,,,,,,TRUE,,,,TRUE,TRUE
2862,,,,,,TRUE,,,,TRUE,TRUE
2871,,,,,,TRUE,,TRUE,,,
2873,,,,,,FALSE,,,,TRUE,
2893,,,,,,,,,,TRUE,
2900,,,,,,,,,,TRUE,TRUE
2916,,,,,,FALSE,,,,TRUE,TRUE
2936,,,,,,,,,,TRUE,
2944,,,,,,TRUE,,,,TRUE,
2949,,TRUE,,,TRUE,FALSE,,FALSE,TRUE,,TRUE
2949,,,,,,,,,,TRUE,
2951,,,,,TRUE,TRUE,,FALSE,,TRUE,FALSE
2984,,,,,,TRUE,,,,TRUE,
2987,,,,,,TRUE,,,,,
2987,,,,,,,,,,TRUE,
3006,,,,,,,,TRUE,,TRUE,TRUE
3015,,,,,FALSE,TRUE,,,,TRUE,
3032,,,,,,TRUE,,,,TRUE,
3101,,,,,,FALSE,,,,TRUE,TRUE
3101,,,,,,,,,,FALSE,
3143,,,,,,,,TRUE,,TRUE,TRUE
3173,,,,,,FALSE,,TRUE,,TRUE,TRUE
3213,,,TRUE,,,FALSE,,,,TRUE,
3213,,,,,,,,,,FALSE,
3229,,,,,,TRUE,,,,TRUE,
3239,,,,,TRUE,,,FALSE,,FALSE,FALSE
3239,,,,,,,,,,TRUE,TRUE
3240,,TRUE,,,TRUE,TRUE,,TRUE,,FALSE,FALSE
3240,,,,,,,,,,TRUE,TRUE
3243,,,,,,FALSE,,,,TRUE,
3243,,,,,,,,,,FALSE,
3272,,,,,,FALSE,,,,TRUE,
3278,,,,,,FALSE,,,FALSE,FALSE,
3298,,,,,,FALSE,,,,TRUE,
3301,,,,,,FALSE,,,,,
3311,,,,,,,,FALSE,,FALSE,
3312,,,,,,FALSE,,,,TRUE,
3312,,,,,,,,,,FALSE,
3313,,,,,,FALSE,,FALSE,,FALSE,
3315,,,,,,FALSE,,,,FALSE,FALSE
3318,,TRUE,,,,TRUE,,,,TRUE,
3326,,,,,,,,FALSE,,FALSE,
3331,,,,,,FALSE,,FALSE,,FALSE,
