"LID","VPolyagreement.Presence.v2","VPolyagreement.Presence.v1"
358,FALSE,FALSE
359,FALSE,FALSE
361,TRUE,FALSE
362,FALSE,FALSE
363,TRUE,TRUE
364,TRUE,TRUE
365,FALSE,FALSE
367,TRUE,TRUE
368,TRUE,TRUE
369,FALSE,FALSE
370,TRUE,FALSE
374,FALSE,FALSE
375,FALSE,FALSE
377,TRUE,TRUE
378,TRUE,TRUE
379,TRUE,FALSE
382,TRUE,TRUE
383,FALSE,FALSE
384,TRUE,FALSE
385,FALSE,FALSE
386,TRUE,TRUE
387,FALSE,FALSE
388,TRUE,TRUE
390,TRUE,TRUE
391,FALSE,FALSE
393,TRUE,FALSE
395,TRUE,FALSE
397,FALSE,FALSE
399,FALSE,FALSE
400,TRUE,TRUE
401,TRUE,TRUE
402,TRUE,FALSE
404,TRUE,TRUE
405,TRUE,FALSE
406,TRUE,FALSE
407,TRUE,TRUE
408,TRUE,FALSE
409,FALSE,FALSE
411,TRUE,TRUE
414,TRUE,FALSE
415,TRUE,TRUE
416,FALSE,FALSE
418,FALSE,FALSE
419,FALSE,FALSE
420,TRUE,TRUE
421,FALSE,FALSE
422,TRUE,TRUE
423,FALSE,FALSE
428,TRUE,TRUE
429,TRUE,TRUE
432,TRUE,TRUE
433,FALSE,FALSE
438,FALSE,FALSE
442,TRUE,TRUE
443,FALSE,FALSE
454,TRUE,FALSE
455,TRUE,TRUE
456,TRUE,FALSE
460,TRUE,TRUE
461,TRUE,TRUE
463,FALSE,FALSE
464,TRUE,FALSE
465,TRUE,TRUE
466,FALSE,FALSE
469,TRUE,FALSE
491,FALSE,FALSE
492,TRUE,TRUE
493,FALSE,FALSE
494,FALSE,FALSE
495,FALSE,FALSE
496,FALSE,FALSE
497,FALSE,FALSE
498,TRUE,TRUE
499,TRUE,TRUE
500,FALSE,FALSE
501,FALSE,FALSE
502,FALSE,FALSE
503,FALSE,FALSE
504,FALSE,FALSE
505,TRUE,TRUE
511,TRUE,TRUE
512,TRUE,TRUE
514,TRUE,TRUE
515,TRUE,FALSE
518,FALSE,FALSE
519,FALSE,FALSE
525,TRUE,TRUE
526,FALSE,FALSE
527,FALSE,FALSE
528,FALSE,FALSE
530,FALSE,FALSE
532,TRUE,TRUE
533,TRUE,FALSE
535,FALSE,FALSE
540,FALSE,FALSE
550,TRUE,TRUE
553,TRUE,FALSE
555,TRUE,TRUE
558,TRUE,TRUE
564,FALSE,FALSE
566,TRUE,FALSE
567,FALSE,FALSE
568,FALSE,FALSE
569,TRUE,FALSE
571,TRUE,FALSE
576,TRUE,TRUE
577,TRUE,TRUE
580,FALSE,FALSE
581,TRUE,FALSE
583,TRUE,FALSE
599,TRUE,TRUE
608,FALSE,FALSE
634,FALSE,FALSE
642,TRUE,FALSE
643,FALSE,FALSE
644,FALSE,FALSE
645,FALSE,FALSE
646,FALSE,FALSE
648,TRUE,TRUE
649,FALSE,FALSE
654,TRUE,TRUE
656,FALSE,FALSE
660,FALSE,FALSE
667,TRUE,TRUE
668,TRUE,TRUE
669,TRUE,TRUE
13,,FALSE
18,TRUE,TRUE
21,FALSE,FALSE
25,FALSE,FALSE
38,,
51,,
60,,
73,FALSE,FALSE
82,TRUE,TRUE
94,,
100,FALSE,FALSE
108,FALSE,FALSE
116,TRUE,TRUE
127,,
140,,
145,TRUE,TRUE
151,,
152,TRUE,TRUE
155,TRUE,TRUE
183,,
194,,
208,TRUE,TRUE
212,TRUE,TRUE
226,FALSE,FALSE
325,TRUE,TRUE
344,,
351,,
355,FALSE,FALSE
360,TRUE,
373,FALSE,FALSE
398,FALSE,FALSE
412,TRUE,TRUE
413,FALSE,FALSE
435,FALSE,FALSE
458,TRUE,TRUE
459,FALSE,FALSE
477,,
481,TRUE,TRUE
486,,
506,,
509,,
534,FALSE,FALSE
538,,
565,,
578,,
582,TRUE,TRUE
606,FALSE,FALSE
612,TRUE,TRUE
620,FALSE,FALSE
626,TRUE,TRUE
629,FALSE,FALSE
650,,
651,,
653,,
655,TRUE,TRUE
658,TRUE,
659,,
661,,
662,FALSE,FALSE
663,FALSE,FALSE
664,TRUE,TRUE
665,,
666,,
686,TRUE,FALSE
692,TRUE,FALSE
694,FALSE,FALSE
2310,TRUE,TRUE
15,FALSE,FALSE
23,FALSE,FALSE
342,TRUE,
1179,TRUE,TRUE
49,FALSE,FALSE
54,TRUE,TRUE
635,TRUE,TRUE
1108,TRUE,TRUE
17,TRUE,FALSE
683,TRUE,FALSE
693,TRUE,TRUE
722,TRUE,TRUE
725,FALSE,FALSE
726,TRUE,FALSE
727,TRUE,FALSE
1623,TRUE,TRUE
2779,TRUE,TRUE
434,FALSE,FALSE
675,TRUE,TRUE
29,TRUE,
2081,TRUE,FALSE
192,FALSE,FALSE
392,TRUE,TRUE
3240,TRUE,
119,TRUE,TRUE
685,FALSE,FALSE
2142,TRUE,FALSE
1750,FALSE,FALSE
2450,TRUE,
1527,TRUE,
2308,TRUE,
331,,TRUE
2412,TRUE,
687,TRUE,
1692,FALSE,FALSE
2577,FALSE,FALSE
2949,TRUE,TRUE
917,FALSE,FALSE
2826,TRUE,TRUE
1706,TRUE,FALSE
3239,TRUE,
1542,,
1807,FALSE,FALSE
942,FALSE,FALSE
1621,TRUE,
1936,TRUE,FALSE
2015,FALSE,FALSE
2471,TRUE,FALSE
2641,FALSE,
3235,FALSE,FALSE
595,FALSE,FALSE
3232,,FALSE
885,TRUE,TRUE
2984,TRUE,TRUE
2564,TRUE,FALSE
1,,FALSE
3101,TRUE,
2873,TRUE,TRUE
632,TRUE,TRUE
2994,FALSE,FALSE
139,,
551,TRUE,FALSE
1363,TRUE,
1364,TRUE,TRUE
1385,TRUE,
1531,FALSE,FALSE
1772,FALSE,FALSE
2050,TRUE,FALSE
2330,TRUE,FALSE
2393,TRUE,FALSE
2447,TRUE,FALSE
