"LID","VInflAktionsart.Pre.Presence","VInflApplicative.Pre.Presence","VInflAspect.Pre.Presence","VInflCausative.Pre.Presence","VInflClassifier.Pre.Presence","VInflConnective.Pre.Presence","VInflConstruct.Pre.Presence","VInflControl.Pre.Presence","VInflDeixis.Pre.Presence","VInflVoice.Pre.Presence","VInflFocus.Pre.Presence","VInflPosterior.Pre.Presence","VInflGender.Pre.Presence","VInflIllocution.Pre.Presence","VInflMA.Pre.Presence","VInflMN.Pre.Presence","VInflModality.Pre.Presence","VInflMood.Pre.Presence","VInflMotion.Pre.Presence","VInflMSE.Pre.Presence","VInflNominalizer.Pre.Presence","VInflNumber.Pre.Presence","VInflPerson.Pre.Presence","VInflPolarity.Pre.Presence","VInflPotentialis.Pre.Presence","VInflQuantificational.Pre.Presence","VInflReflexive_and_Reciprocal.Pre.Presence","VInflRECIP.Pre.Presence","VInflReferential.Pre.Presence","VInflReflexive.Pre.Presence","VInflRepetition.Pre.Presence","VInflReversative.Pre.Presence","VInflSemistem.Pre.Presence","VInflSpatial.Pre.Presence","VInflStatus.Pre.Presence","VInflSwitch_reference.Pre.Presence","VInflTense_and_Evidential.Pre.Presence","VInflTA.Pre.Presence","VInflTAM.Pre.Presence","VInflTense.Pre.Presence","VInflTM.Pre.Presence","VInflValence.Pre.Presence","VInflVersion.Pre.Presence"
1364,,,FALSE,,,,,,FALSE,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,
1385,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,FALSE,,,,,,
1531,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
1542,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
1623,FALSE,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,
1772,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,FALSE,,
1807,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,
1816,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,,,,,,FALSE,,,,
1840,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
1954,,,FALSE,,,,,,,,,,,,FALSE,,,,,,FALSE,,,TRUE,,,,,,,,,,,,TRUE,,FALSE,,,,,
2024,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,FALSE,,TRUE,,,,
2050,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,FALSE,,TRUE,,,,,,,,,,FALSE,,,,,,,,,
2172,,,FALSE,FALSE,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
2330,,,TRUE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
2360,,,,,,FALSE,,,,,,,,,,,,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,
2388,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,,,,,,FALSE,,,,
2393,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
2412,,,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,FALSE,,,,,,,
2447,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
2456,,,,FALSE,,FALSE,,,,,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
2471,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,
2508,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
2513,FALSE,FALSE,,FALSE,,FALSE,,,,FALSE,,,,,,,FALSE,FALSE,,,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,,
2514,,,FALSE,TRUE,,FALSE,,,,,,,,FALSE,,,,TRUE,,,,,,FALSE,,,,FALSE,,TRUE,,,,,,,,,,FALSE,,,
2564,,FALSE,TRUE,FALSE,,,,FALSE,,FALSE,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,
2564,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,FALSE,,,,
2577,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,,,,,,,,,,
2672,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,,,,
2828,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,,,,,,,,,,
2831,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,
2832,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
2833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
2854,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
2855,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
2856,,,,,,,,,,,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,,
2900,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
2949,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,FALSE,FALSE,TRUE,,,,,,,,,TRUE,,,,,,FALSE,,FALSE,,
2951,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,FALSE,,FALSE,,,,,,TRUE,,,,,,,,FALSE,,,,TRUE,
2984,,,FALSE,,,,,,,,,,,FALSE,,,,FALSE,,,,,,FALSE,,,,,,,,,,,FALSE,,,,FALSE,FALSE,,,
3101,,,,,,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,FALSE,,,,
3143,,FALSE,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,FALSE,FALSE,,,,,,,,
3229,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,
3240,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE,,,FALSE,,,TRUE,,,,,FALSE,,,
3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
3243,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,,
