"LID","IndividualPredicateMeaning","PredicateSemanticMalchukovClass","ValClassLabel","ValClassDescription","ValClassDiscourseFreq","ValClassID","ValClassSize","PredicateSemanticClass"
99,"spit","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","bodily_emission"
99,"smile","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","laugh_wink"
99,"shed_tears","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","bodily_emission"
99,"laugh","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","laugh_wink"
99,"bathe","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","grooming"
99,"sleep","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","sleep"
340,"have","Malch_other","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","possession"
340,"admire","Malch_emotion","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","emotion"
340,"enjoy","Malch_emotion","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","emotion"
340,"be_proud_of","Malch_emotion","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","emotion"
340,"use","Malch_other","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","use"
340,"be_occupied_with","Malch_other","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","activity"
340,"be_interested_in","Malch_perception_cognition","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","cognition"
340,"be_ill","Malch_sensation","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","sensation"
340,"suffer_from","Malch_other","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","diseases_and_bodily_states"
340,"risk","Malch_other","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","activity"
340,"trade_in","Malch_other","ANOM PINSTR","tr. verbs taking an INSTR object:  vosxischat’sja ‘admire’, naslazhdat’sia ‘enjoy’, gordit’sja ‘be proud’, balovat’sja ‘treat oneself with’, pol’zovat’sja ‘use’, zanimat’sja ‘be busy with’, uvlekat’sja ‘be enamoured of smb., go mad on smth.’, interesovat’sja ‘be interested in’, bolet’ ‘be ill’, stradat’ ‘suffer from’, ljubovat’sja ‘admire’, 

riskovat’ ‘to risk smth’, dorozhit’ ‘to value’, torgovat’ ‘trade in’, vladet’ ‘to own, to possess’, 

Note: case marking is identical to the one of class 135, but the two classes have different syntactic behaviour","frequent",21,"big (>20 verbs)","change_of_possession"
340,"be_surprised","Malch_emotion","ANOM PDAT","tr. verbs taking an DAT object: radovat’sja ‘be glad, happy about’, udivljat’sja ‘be surpised’, verit’ ‘believe, trust’,",,22,,"emotion"
340,"feel_happy_(about)","Malch_emotion","ANOM PDAT","tr. verbs taking an DAT object: radovat’sja ‘be glad, happy about’, udivljat’sja ‘be surpised’, verit’ ‘believe, trust’,",,22,,"emotion"
340,"trust","Malch_emotion","ANOM PDAT","tr. verbs taking an DAT object: radovat’sja ‘be glad, happy about’, udivljat’sja ‘be surpised’, verit’ ‘believe, trust’,",,22,,"emotion"
340,"love","Malch_emotion","ADAT PNOM","tr. verbs taking a DAT subject: nravits’ja ‘to like’, snit’sja ‘to dream about’, prividet’sja ‘to dream about, to believe to see’, hotet’sja ‘to want’
agreement pred. class 882","frequent",23,"medium (<20 verbs)","emotion"
340,"dream_during_sleep","Malch_perception_cognition","ADAT PNOM","tr. verbs taking a DAT subject: nravits’ja ‘to like’, snit’sja ‘to dream about’, prividet’sja ‘to dream about, to believe to see’, hotet’sja ‘to want’
agreement pred. class 882","frequent",23,"medium (<20 verbs)","cognition"
340,"dream_daydream","Malch_perception_cognition","ADAT PNOM","tr. verbs taking a DAT subject: nravits’ja ‘to like’, snit’sja ‘to dream about’, prividet’sja ‘to dream about, to believe to see’, hotet’sja ‘to want’
agreement pred. class 882","frequent",23,"medium (<20 verbs)","cognition"
340,"want","Malch_sensation","ADAT PNOM","tr. verbs taking a DAT subject: nravits’ja ‘to like’, snit’sja ‘to dream about’, prividet’sja ‘to dream about, to believe to see’, hotet’sja ‘to want’
agreement pred. class 882","frequent",23,"medium (<20 verbs)","desideration"
340,"be_fed_up_with","Malch_emotion","ADAT PNOM","tr. verbs taking a DAT subject: nravits’ja ‘to like’, snit’sja ‘to dream about’, prividet’sja ‘to dream about, to believe to see’, hotet’sja ‘to want’
agreement pred. class 882","frequent",23,"medium (<20 verbs)","emotion"
340,"feel_fear","Malch_emotion","ANOM PGEN","predicates requiring O (GEN): 
verbs of fearing: bojat’sia ‘fear, be afraid’, osteregat’sia, opasat’sia, stesniat’sia, 
verbs of achievement: dobivat’sia ‘to attain’, 
verbs of deprivation: lishat’sia ‘to lose’,
zhazhdet’ ‘to thirst for, to want’, zhdat’ ‘to wait’, slushat’sia ‘obey’
a large number of quantitative verbs with  the productive prefix na- (nabrat’ ‘gaher a lot’, nakupit’ ‘buy a lot of’)
Some colloquial uses show an ACC

Note: case marking is identical to the one of class 137, but the two classes have different syntactic behaviour","frequent",24,"small (<10 verbs)","emotion"
340,"want","Malch_sensation","ANOM PGEN","predicates requiring O (GEN): 
verbs of fearing: bojat’sia ‘fear, be afraid’, osteregat’sia, opasat’sia, stesniat’sia, 
verbs of achievement: dobivat’sia ‘to attain’, 
verbs of deprivation: lishat’sia ‘to lose’,
zhazhdet’ ‘to thirst for, to want’, zhdat’ ‘to wait’, slushat’sia ‘obey’
a large number of quantitative verbs with  the productive prefix na- (nabrat’ ‘gaher a lot’, nakupit’ ‘buy a lot of’)
Some colloquial uses show an ACC

Note: case marking is identical to the one of class 137, but the two classes have different syntactic behaviour","frequent",24,"small (<10 verbs)","desideration"
340,"feel_ashamed_(of)","Malch_emotion","ANOM PGEN","predicates requiring O (GEN): 
verbs of fearing: bojat’sia ‘fear, be afraid’, osteregat’sia, opasat’sia, stesniat’sia, 
verbs of achievement: dobivat’sia ‘to attain’, 
verbs of deprivation: lishat’sia ‘to lose’,
zhazhdet’ ‘to thirst for, to want’, zhdat’ ‘to wait’, slushat’sia ‘obey’
a large number of quantitative verbs with  the productive prefix na- (nabrat’ ‘gaher a lot’, nakupit’ ‘buy a lot of’)
Some colloquial uses show an ACC

Note: case marking is identical to the one of class 137, but the two classes have different syntactic behaviour","frequent",24,"small (<10 verbs)","emotion"
340,"achieve","Malch_other","ANOM PGEN","predicates requiring O (GEN): 
verbs of fearing: bojat’sia ‘fear, be afraid’, osteregat’sia, opasat’sia, stesniat’sia, 
verbs of achievement: dobivat’sia ‘to attain’, 
verbs of deprivation: lishat’sia ‘to lose’,
zhazhdet’ ‘to thirst for, to want’, zhdat’ ‘to wait’, slushat’sia ‘obey’
a large number of quantitative verbs with  the productive prefix na- (nabrat’ ‘gaher a lot’, nakupit’ ‘buy a lot of’)
Some colloquial uses show an ACC

Note: case marking is identical to the one of class 137, but the two classes have different syntactic behaviour","frequent",24,"small (<10 verbs)","achieve"
340,"lose","Malch_other","ANOM PGEN","predicates requiring O (GEN): 
verbs of fearing: bojat’sia ‘fear, be afraid’, osteregat’sia, opasat’sia, stesniat’sia, 
verbs of achievement: dobivat’sia ‘to attain’, 
verbs of deprivation: lishat’sia ‘to lose’,
zhazhdet’ ‘to thirst for, to want’, zhdat’ ‘to wait’, slushat’sia ‘obey’
a large number of quantitative verbs with  the productive prefix na- (nabrat’ ‘gaher a lot’, nakupit’ ‘buy a lot of’)
Some colloquial uses show an ACC

Note: case marking is identical to the one of class 137, but the two classes have different syntactic behaviour","frequent",24,"small (<10 verbs)","lose"
340,"wait_for","Malch_pursuit","ANOM PGEN","predicates requiring O (GEN): 
verbs of fearing: bojat’sia ‘fear, be afraid’, osteregat’sia, opasat’sia, stesniat’sia, 
verbs of achievement: dobivat’sia ‘to attain’, 
verbs of deprivation: lishat’sia ‘to lose’,
zhazhdet’ ‘to thirst for, to want’, zhdat’ ‘to wait’, slushat’sia ‘obey’
a large number of quantitative verbs with  the productive prefix na- (nabrat’ ‘gaher a lot’, nakupit’ ‘buy a lot of’)
Some colloquial uses show an ACC

Note: case marking is identical to the one of class 137, but the two classes have different syntactic behaviour","frequent",24,"small (<10 verbs)","persuit"
340,"obey","Malch_other","ANOM PGEN","predicates requiring O (GEN): 
verbs of fearing: bojat’sia ‘fear, be afraid’, osteregat’sia, opasat’sia, stesniat’sia, 
verbs of achievement: dobivat’sia ‘to attain’, 
verbs of deprivation: lishat’sia ‘to lose’,
zhazhdet’ ‘to thirst for, to want’, zhdat’ ‘to wait’, slushat’sia ‘obey’
a large number of quantitative verbs with  the productive prefix na- (nabrat’ ‘gaher a lot’, nakupit’ ‘buy a lot of’)
Some colloquial uses show an ACC

Note: case marking is identical to the one of class 137, but the two classes have different syntactic behaviour","frequent",24,"small (<10 verbs)","social_interaction"
340,"feel_sick","Malch_sensation","SACC","Intr. verbs taking ACC subject: toshnit' ‘to nauseate’, rvat' ‘to vomit’, znobit' ‘to shiver’, ukachivat' ‘to rock to sleep, to make sick (while driving a car, going by boat)’","infrequent",25,"small (<10 verbs)","sensation"
340,"vomit","Malch_other","SACC","Intr. verbs taking ACC subject: toshnit' ‘to nauseate’, rvat' ‘to vomit’, znobit' ‘to shiver’, ukachivat' ‘to rock to sleep, to make sick (while driving a car, going by boat)’","infrequent",25,"small (<10 verbs)","bodily_emission"
340,"feel_cold","Malch_sensation","SACC","Intr. verbs taking ACC subject: toshnit' ‘to nauseate’, rvat' ‘to vomit’, znobit' ‘to shiver’, ukachivat' ‘to rock to sleep, to make sick (while driving a car, going by boat)’","infrequent",25,"small (<10 verbs)","sensation"
340,"shiver","Malch_other","SACC","Intr. verbs taking ACC subject: toshnit' ‘to nauseate’, rvat' ‘to vomit’, znobit' ‘to shiver’, ukachivat' ‘to rock to sleep, to make sick (while driving a car, going by boat)’","infrequent",25,"small (<10 verbs)","diseases_and_bodily_states"
162,"swim","Malch_motion","SERG (“noun + awun/x̂un” compounds)","sirnawun (< sirnaw awun) ‘swim’; k’walaxun (< k’walax awun) ‘work’, učitelwal awun ‘to work as a teacher’; tešwiš x̂un ‘to get confuse’, ujax x̂un ‘to wake up (intr.)’","infrequent",26,"big (>20 verbs)","motion"
162,"work","Malch_other","SERG (“noun + awun/x̂un” compounds)","sirnawun (< sirnaw awun) ‘swim’; k’walaxun (< k’walax awun) ‘work’, učitelwal awun ‘to work as a teacher’; tešwiš x̂un ‘to get confuse’, ujax x̂un ‘to wake up (intr.)’","infrequent",26,"big (>20 verbs)","activity"
162,"wake_up","Malch_other","SERG (“noun + awun/x̂un” compounds)","sirnawun (< sirnaw awun) ‘swim’; k’walaxun (< k’walax awun) ‘work’, učitelwal awun ‘to work as a teacher’; tešwiš x̂un ‘to get confuse’, ujax x̂un ‘to wake up (intr.)’","infrequent",26,"big (>20 verbs)","change_of_state"
162,"get_confused","Malch_perception_cognition","SERG (“noun + awun/x̂un” compounds)","sirnawun (< sirnaw awun) ‘swim’; k’walaxun (< k’walax awun) ‘work’, učitelwal awun ‘to work as a teacher’; tešwiš x̂un ‘to get confuse’, ujax x̂un ‘to wake up (intr.)’","infrequent",26,"big (>20 verbs)","cognition"
162,"love","Malch_emotion","ADAT PABS","akun  ‘E sees X’, žuǧun ‘E finds X’, k‘an- ‘E wants/loves X’, či- ‘E knows X’; Some verbs that take DAT subject are compound verbs formed with x̂un ‘become’: begenmiš x̂un – ‘E likes X’, bizar x̂un  – ‘E is fed up with X’, tak’an x̂un  – ‘E hates X’, x̂iz x̂un – ‘E thinks X’ (with a clausal argument);
The construction DAT possessor with awa ‘be’.","frequent",28,"big (>20 verbs)","emotion"
162,"want","Malch_sensation","ADAT PABS","akun  ‘E sees X’, žuǧun ‘E finds X’, k‘an- ‘E wants/loves X’, či- ‘E knows X’; Some verbs that take DAT subject are compound verbs formed with x̂un ‘become’: begenmiš x̂un – ‘E likes X’, bizar x̂un  – ‘E is fed up with X’, tak’an x̂un  – ‘E hates X’, x̂iz x̂un – ‘E thinks X’ (with a clausal argument);
The construction DAT possessor with awa ‘be’.","frequent",28,"big (>20 verbs)","desideration"
162,"have","Malch_other","ADAT PABS","akun  ‘E sees X’, žuǧun ‘E finds X’, k‘an- ‘E wants/loves X’, či- ‘E knows X’; Some verbs that take DAT subject are compound verbs formed with x̂un ‘become’: begenmiš x̂un – ‘E likes X’, bizar x̂un  – ‘E is fed up with X’, tak’an x̂un  – ‘E hates X’, x̂iz x̂un – ‘E thinks X’ (with a clausal argument);
The construction DAT possessor with awa ‘be’.","frequent",28,"big (>20 verbs)","possession"
