"LID","VAgrA.Pre.Presence","VAgrP.Pre.Presence","VAgrPOSS.Pre.Presence"
393,FALSE,TRUE,
393,,FALSE,
395,TRUE,FALSE,
400,TRUE,TRUE,
401,TRUE,TRUE,
402,TRUE,FALSE,
406,TRUE,TRUE,
408,FALSE,FALSE,
409,FALSE,,
411,TRUE,TRUE,
412,FALSE,FALSE,
413,,TRUE,
414,TRUE,,
420,TRUE,TRUE,
421,,TRUE,
423,FALSE,,
426,FALSE,TRUE,
428,FALSE,FALSE,
429,FALSE,TRUE,
433,,TRUE,
435,FALSE,,
438,TRUE,,
454,TRUE,TRUE,
456,FALSE,FALSE,
458,TRUE,TRUE,TRUE
460,TRUE,TRUE,
461,TRUE,TRUE,
463,FALSE,,
464,FALSE,TRUE,
465,FALSE,TRUE,
468,FALSE,,
469,FALSE,FALSE,
481,TRUE,TRUE,
491,FALSE,,
492,TRUE,TRUE,
495,TRUE,,
498,TRUE,FALSE,
499,TRUE,TRUE,
499,,FALSE,
502,FALSE,,
505,FALSE,FALSE,
505,,TRUE,
511,FALSE,FALSE,
512,TRUE,FALSE,
514,FALSE,FALSE,
515,TRUE,FALSE,
518,FALSE,,
525,FALSE,TRUE,
527,FALSE,,
530,,TRUE,
533,FALSE,,
535,FALSE,,
540,TRUE,,
545,TRUE,,
549,FALSE,,
550,TRUE,TRUE,
551,TRUE,FALSE,
553,TRUE,TRUE,
553,,FALSE,
558,TRUE,FALSE,
564,,FALSE,
569,FALSE,TRUE,
571,TRUE,TRUE,
576,FALSE,FALSE,
577,TRUE,TRUE,TRUE
581,TRUE,TRUE,
582,TRUE,FALSE,
583,TRUE,FALSE,
608,FALSE,,
612,FALSE,FALSE,
619,TRUE,TRUE,
626,FALSE,FALSE,
628,FALSE,,
632,FALSE,FALSE,
633,FALSE,FALSE,
634,FALSE,,
635,,FALSE,FALSE
641,FALSE,,
642,FALSE,FALSE,
644,TRUE,,
645,TRUE,,
648,,TRUE,
654,TRUE,FALSE,
655,TRUE,TRUE,
656,FALSE,,
658,TRUE,TRUE,
663,TRUE,TRUE,
664,TRUE,TRUE,
667,FALSE,FALSE,
668,TRUE,TRUE,
669,FALSE,TRUE,
674,TRUE,TRUE,
675,TRUE,TRUE,
678,FALSE,TRUE,
679,FALSE,,
680,FALSE,FALSE,
681,FALSE,FALSE,
683,FALSE,TRUE,
686,FALSE,FALSE,
687,FALSE,FALSE,
688,TRUE,TRUE,
689,FALSE,,
692,TRUE,TRUE,
693,TRUE,TRUE,
699,FALSE,,
700,FALSE,,
701,FALSE,,
703,FALSE,,
709,TRUE,,
710,FALSE,,
722,FALSE,FALSE,
723,FALSE,,
725,FALSE,TRUE,
726,FALSE,TRUE,
727,FALSE,TRUE,
735,FALSE,FALSE,
780,FALSE,FALSE,
786,FALSE,,
790,FALSE,,
838,FALSE,,
885,TRUE,FALSE,
917,,TRUE,
942,,TRUE,
975,TRUE,FALSE,TRUE
1004,FALSE,FALSE,
1067,FALSE,,
1108,TRUE,TRUE,
1130,FALSE,,
1140,TRUE,TRUE,
1203,TRUE,TRUE,
1317,FALSE,FALSE,
1363,TRUE,FALSE,
1376,FALSE,FALSE,
1385,FALSE,FALSE,
1388,FALSE,,
1395,FALSE,,
1399,FALSE,FALSE,
1440,FALSE,,
1480,TRUE,,
1531,,TRUE,
1542,,TRUE,
1623,FALSE,FALSE,
1694,TRUE,TRUE,
1775,FALSE,FALSE,
1778,FALSE,FALSE,
1807,,TRUE,
1816,,TRUE,
1840,,TRUE,
1890,FALSE,,
1914,FALSE,FALSE,
1954,FALSE,TRUE,
2020,,TRUE,
2024,FALSE,TRUE,
2050,TRUE,TRUE,
2120,FALSE,FALSE,
2172,FALSE,FALSE,
2217,TRUE,TRUE,
2330,FALSE,,
2360,TRUE,TRUE,
2388,,TRUE,
2393,FALSE,FALSE,
2412,TRUE,TRUE,
2447,FALSE,,
2471,FALSE,,
2508,TRUE,,
2513,TRUE,,
2514,TRUE,TRUE,
2563,FALSE,FALSE,
2564,FALSE,FALSE,
2572,,TRUE,
2577,,FALSE,
2657,FALSE,,
2662,FALSE,,
2672,FALSE,FALSE,
2716,FALSE,,
2779,TRUE,FALSE,
2826,FALSE,TRUE,
2831,FALSE,,
2832,FALSE,,
2833,FALSE,,
2854,FALSE,,
2855,FALSE,,
2856,FALSE,,
2862,TRUE,TRUE,
2873,TRUE,TRUE,
2893,FALSE,,
2900,FALSE,,
2936,FALSE,,
2949,TRUE,TRUE,
2951,TRUE,TRUE,
2984,FALSE,FALSE,
2984,,TRUE,
2987,FALSE,,
3006,TRUE,,
3015,TRUE,,
3101,FALSE,FALSE,
3143,FALSE,,
3173,FALSE,FALSE,
3213,FALSE,TRUE,
3229,FALSE,TRUE,
3239,TRUE,TRUE,
3240,TRUE,FALSE,
3272,FALSE,,
3278,FALSE,TRUE,
3311,TRUE,FALSE,
3312,FALSE,,
3313,FALSE,FALSE,
3326,TRUE,FALSE,
3331,TRUE,TRUE,
