"LID","Language","Stock","LowestSubBranch","MajorBranch","QuasiStock","SubBranch","LanguageAlternativeNames","Genesis","Longitude","Latitude","NearProtoHomeland","Modality","LocalRegion","SubSubBranch","StockAlternativeName","StockAllNames","LanguageAllNames","Subsistence","ISO639.3","Glottocode.2014","Glottocode","OriginContinent","Continent","Area","Macrocontinent"
294,"Egyptian (Ancient)","Egyptian",,,"Afroasiatic",,"Egyptian (Ancient)","regular",31,30,"TRUE","spoken",,,,"Egyptian","Egyptian (Ancient), Egyptian (Ancient)",,"egy","egyp1246","egyp1246","Africa","Africa","N Africa","Africa"
15,"Akkadian","Semitic",,"East Semitic","Afroasiatic","Akkadian","Akkadian","regular",44.37,32.5,"FALSE","spoken",,,,,"Akkadian, Akkadian",,"akk","akka1240","akka1240","Africa","W and SW Eurasia","Greater Mesopotamia","Eurasia"
23,"Arabic","Semitic","Arabic","West Semitic","Afroasiatic","Central (West Semitic)","Arabic, Modern Standard Arabic","regular",31,30,"FALSE","spoken",,"South-Central Semitic",,,"Arabic, Arabic, Modern Standard Arabic",,"arb","stan1318","stan1318","Africa","Africa","N Africa","Africa"
21,"Amharic","Semitic",,"West Semitic","Afroasiatic","Southern (West Semitic)","Amharic, Ethiopic","regular",38,10,"FALSE","spoken",,"Ethiopean",,,"Amharic, Amharic, Ethiopic",,"amh","amha1245","amha1245","Africa","Africa","Greater Abyssinia","Africa"
65,"Dizi","Omotic",,,"Afroasiatic",,"Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin","regular",36.5,6.17,"TRUE","spoken",,,,"Omotic","Dizi, Dizi, Dizi-Maji, Dizinog, Dizinya, Maji, Majinya, Sizi, Twoyu, Dizin",,"mdx","dizi1235","dizi1235","Africa","Africa","Greater Abyssinia","Africa"
324,"Oromo","Cushitic",,"Eastern Cushitic","Afroasiatic",,"Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu","regular",38,0,"FALSE","spoken",,,,,"Oromo, Oromo, Harar, Qotu Oromo, Harer, Qottu, Quottu, Qwottu, Kwottu, Ittu",,"hae","east2652","east2652","Africa","Africa","S Africa","Africa"
34,"Beja","Beja",,,"Afroasiatic",,"Beja","regular",36,18,"TRUE","spoken",,,,"Beja","Beja, Beja",,"bej","beja1238","beja1238","Africa","Africa","N Africa","Africa"
360,"Sumerian","Sumerian",,,,,"Sumerian","regular",45,33,"TRUE","spoken",,,,"Sumerian","Sumerian, Sumerian",,"sux","sume1241","sume1241","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
73,"Elamite","Elamite",,,,,"Elamite","regular",51,32,"TRUE","spoken",,,,"Elamite","Elamite, Elamite",,"elx","elam1244","elam1244","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
108,"Hurrian","Hurro-Urartean",,,,,"Hurrian","regular",40,37,"TRUE","spoken",,,,"Hurro-Urartean","Hurrian, Hurrian",,"xhu","hurr1240","hurr1240","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
32,"Basque","Basque",,,,,"Basque","regular",-3,43,"TRUE","spoken",,,,,"Basque, Basque","agricultural/pastoral","eus","basq1248","basq1248","Eurasia","W and SW Eurasia","Europe","Eurasia"
100,"Hittite","Indo-European",,"Anatolian","Indo-Uralic","Anatolian","Hittite","regular",33,39,"FALSE","spoken",,,,,"Hittite, Hittite",,"hit","hitt1242","hitt1242","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
301,"Tocharian","Indo-European",,"Tocharian","Indo-Uralic","Tocharian","Tocharian, Tokharian","regular",83,41,"FALSE","spoken",,,,,"Tocharian, Tocharian, Tokharian",,"tokh","tokh1241","tokh1241","Eurasia","N-C Asia","Inner Asia","Eurasia"
79,"French (colloquial)","Indo-European",,"Italic-Celtic","Indo-Uralic","Italic","French (colloquial)","regular",2,48,"FALSE","spoken",,,,,"French (colloquial), French (colloquial)",,"fra","stan1290","stan1290","Eurasia","W and SW Eurasia","Europe","Eurasia"
25,"Armenian (Eastern)","Indo-European",,"Greek-Armenian","Indo-Uralic","Armenian","Armenian (Eastern)","regular",45,40,"FALSE","spoken","Caucasus",,,,"Armenian (Eastern), Armenian (Eastern)","agricultural/pastoral","hye","east2283","nucl1235","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
74,"English","Indo-European",,"Germanic","Indo-Uralic","West Germanic","English","regular",0,52,"FALSE","spoken",,,,,"English, English",,"eng","stan1293","stan1293","Eurasia","W and SW Eurasia","Europe","Eurasia"
340,"Russian","Indo-European",,"Balto-Slavic","Indo-Uralic","Slavic","Russian","regular",38,56,"FALSE","spoken",,"East Slavic",,,"Russian, Russian","agricultural/pastoral","rus","russ1263","russ1263","Eurasia","N-C Asia","Inner Asia","Eurasia"
396,"Waigali","Indo-European",,"Indo-Iranian","Indo-Uralic","Nuristani","Waigali","regular",71.25,35,"FALSE","spoken","Himalaya",,,,"Waigali, Waigali",,"wbk","waig1243","waig1243","Eurasia","S/SE Asia","Indic","Eurasia"
325,"Ossetic","Indo-European",,"Indo-Iranian","Indo-Uralic","Iranian","Ossetic, Ossete","regular",44,43,"FALSE","spoken","Caucasus","Northeast Iranian",,,"Ossetic, Ossetic, Ossete","agricultural/pastoral","oss","osse1243","osse1243","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
17,"Albanian","Indo-European",,"Albanian","Indo-Uralic","Albanian","Albanian","regular",20,41,"FALSE","spoken",,,,,"Albanian, Albanian",,"als","tosk1239","tosk1239","Eurasia","W and SW Eurasia","Europe","Eurasia"
114,"Ingush","Nakh-Daghestanian",,"Nakh",,"Vainakh","Ingush","regular",44.77,42.97,"FALSE","spoken","Caucasus",,,,"Ingush, Ingush","agricultural/pastoral","inh","ingu1240","ingu1240","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
413,"Xinalug","Nakh-Daghestanian",,"Daghestanian",,"Xinalug","Xinalug","regular",48.13,41.18,"FALSE","spoken","Caucasus",,,,"Xinalug, Xinalug","agricultural/pastoral","kjj","khin1240","khin1240","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
389,"Udi","Nakh-Daghestanian",,"Daghestanian",,"Lezgian","Udi","regular",47.27,41.08,"FALSE","spoken","Caucasus","Udi",,,"Udi, Udi",,"udi","udii1243","udii1243","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
162,"Lezgi","Nakh-Daghestanian","Western Samurian","Daghestanian",,"Lezgian","Lezgi","regular",47.83,41.67,"FALSE","spoken","Caucasus","Samurian (core Lezgian)",,,"Lezgi, Lezgi","agricultural/pastoral","lez","lezg1247","lezg1247","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
145,"Dargi (Kubachi)","Nakh-Daghestanian",,"Daghestanian",,"Dargic","Kubachi, Kubachi Dargi","regular",47.6,42.09,"FALSE","spoken","Caucasus",,,,"Dargi (Kubachi), Kubachi, Kubachi Dargi","agricultural/pastoral","dar","darg1241","darg1241","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
155,"Lak","Nakh-Daghestanian",,"Daghestanian",,"Lak","Lak, Laki, Kazikumukhtsy","regular",47.11,42.17,"TRUE","spoken","Caucasus",,,,"Lak, Lak, Laki, Kazikumukhtsy","agricultural/pastoral","lbe","lakk1252","lakk1252","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
7,"Abkhaz","West Caucasian","Abkhaz-Abaza","Abkhazian-Ubykh",,,"Abkhaz","regular",41,43.08,"TRUE","spoken","Caucasus",,,,"Abkhaz, Abkhaz","agricultural/pastoral","abk","abkh1244","abkh1244","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
205,"Nenets (Tundra)","Uralic",,"Samoyedic","Indo-Uralic","Northern Samoyedic","Nenets (Tundra), Tundra Nenets, Yurak Samoyed, Tundra Yurak","regular",72,69,"FALSE","spoken",,,,,"Nenets (Tundra), Nenets (Tundra), Tundra Nenets, Yurak Samoyed, Tundra Yurak","agricultural/pastoral","yrk","nene1249","nene1249","Eurasia","N-C Asia","Inner Asia","Eurasia"
107,"Hungarian","Uralic",,"Finno-Ugric","Indo-Uralic","Ugric","Hungarian","regular",20,47,"FALSE","spoken",,,,,"Hungarian, Hungarian","agricultural/pastoral","hun","hung1274","hung1274","Eurasia","W and SW Eurasia","Europe","Eurasia"
139,"Komi (Zyrian)","Uralic",,"Finno-Ugric","Indo-Uralic","Finno-Permian","Zyrian, Komi","regular",50,62,"FALSE","spoken",,"Permian",,,"Komi (Zyrian), Zyrian, Komi",,"kpv","komi1268","komi1268","Eurasia","N-C Asia","Inner Asia","Eurasia"
78,"Finnish","Uralic","Finno-Saamic","Finno-Ugric","Indo-Uralic","Finno-Permian","Finnish","regular",25,62,"FALSE","spoken",,"Finno-Volgaic",,,"Finnish, Finnish",,"fin","finn1318","finn1318","Eurasia","N-C Asia","Inner Asia","Eurasia"
57,"Chuvash","Turkic",,"Bulghar (aka Oghur)","Altaic",,"Chuvash","regular",47.5,55.5,"FALSE","spoken",,,,,"Chuvash, Chuvash",,"chv","chuv1255","chuv1255","Eurasia","N-C Asia","Inner Asia","Eurasia"
387,"Tuva","Turkic",,"Common Turkic","Altaic","Northern Turkish","Tuvan, Tuvin, Tuva","regular",95,52,"FALSE","spoken",,"Siberian",,,"Tuva, Tuvan, Tuvin, Tuva","agricultural/pastoral","tyv","tuvi1240","tuvi1240","Eurasia","N-C Asia","Inner Asia","Eurasia"
124,"Karachay-Balkar","Turkic",,"Common Turkic","Altaic","Kipchak (Northwest Turkic)","Karachay-Balkar","regular",42,43.5,"FALSE","spoken","Caucasus",,,,"Karachay-Balkar, Karachay-Balkar",,"krc","kara1465","kara1465","Eurasia","W and SW Eurasia","Greater Mesopotamia","Eurasia"
188,"Mongolian (Khalkha)","Mongolic",,,"Altaic",,"Mongolian (Khalkha), Mongolian proper, Khalkha","regular",105,47,"TRUE","spoken",,,"Mongolian","Mongolic, Mongolian","Mongolian (Khalkha), Mongolian (Khalkha), Mongolian proper, Khalkha","agricultural/pastoral","khk","halh1238","halh1238","Eurasia","N-C Asia","Inner Asia","Eurasia"
201,"Nanai","Tungusic",,"Central Tungusic","Altaic","Central-Western Tungusic","Nanai, Gold, Goldi, Nanaj, Nanay","regular",137,49.5,"TRUE","spoken",,,,,"Nanai, Nanai, Gold, Goldi, Nanaj, Nanay","hunting/fishing/foraging","gld","nana1257","nana1257","Eurasia","N-C Asia","N Coast Asia","Eurasia"
423,"Yukagir (Tundra)","Yukagir",,,,,"Yukaghir, Yukagir","regular",160,69,"FALSE","spoken",,,,"Yukagir","Yukagir (Tundra), Yukaghir, Yukagir","hunting/fishing/foraging","ykg","nort2745","nort2745","Eurasia","N-C Asia","Inner Asia","Eurasia"
129,"Ket","Yeniseian",,,,,"Ket","regular",87,64,"TRUE","spoken",,,,"Yeniseian","Ket, Ket","hunting/fishing/foraging","ket","kett1243","kett1243","Eurasia","N-C Asia","Inner Asia","Eurasia"
12,"Ainu","Ainu",,,,,"Ainu","regular",143,43,"TRUE","spoken",,,,"Ainu","Ainu, Ainu","hunting/fishing/foraging","ain","ainu1240","ainu1240","Eurasia","N-C Asia","N Coast Asia","Eurasia"
118,"Japanese","Japanese",,,"Altaic",,"Japanese","regular",140,37,"TRUE","spoken",,,,"Japanese","Japanese, Japanese","agricultural/pastoral","jpn","nucl1643","nucl1643","Eurasia","N-C Asia","N Coast Asia","Eurasia"
141,"Korean","Korean",,,"Altaic",,"Korean","regular",128,37.5,"TRUE","spoken",,,,"Korean","Korean, Korean","agricultural/pastoral","kor","kore1280","kore1280","Eurasia","N-C Asia","N Coast Asia","Eurasia"
56,"Chukchi","Chukchi-Kamchatkan",,"Chukotkan",,"Northern Chukotkan","Chukchi","regular",170,67,"TRUE","spoken",,,,,"Chukchi, Chukchi","hunting/fishing/foraging","ckt","chuk1273","chuk1273","Eurasia","N-C Asia","N Coast Asia","Eurasia"
116,"Itelmen","Chukchi-Kamchatkan",,"Kamchatkan",,,"Itelmen","regular",157.5,57,"FALSE","spoken",,,,,"Itelmen, Itelmen","hunting/fishing/foraging","itl","itel1242","itel1242","Eurasia","N-C Asia","N Coast Asia","Eurasia"
18,"Aleut","Eskimo-Aleut",,"Aleut",,,"Aleut","regular",-166,54,"FALSE","spoken",,,,,"Aleut, Aleut","hunting/fishing/foraging","ale","aleu1260","aleu1260","North America","N-C Asia","N Coast Asia","Eurasia"
203,"Naukan","Eskimo-Aleut","Yupik","Eskimoan",,,"Naukan","regular",-172,66,"FALSE","spoken",,,,,"Naukan, Naukan","hunting/fishing/foraging","ynk","nauk1242","nauk1242","North America","N-C Asia","N Coast Asia","Eurasia"
40,"Burushaski","Burushaski",,,,,"Burushaski","regular",74.5,36.5,"TRUE","spoken","Himalaya",,,"Burushaski","Burushaski, Burushaski","agricultural/pastoral","bsk","buru1296","buru1296","Eurasia","S/SE Asia","Indic","Eurasia"
197,"Nahali","Nahali",,,,,"Nihali, Nihal, Kalto, Nahal, Nahali","regular",77.83,19.75,"TRUE","spoken",,,,"Nahali","Nahali, Nihali, Nihal, Kalto, Nahal, Nahali",,"nlx","naha1261","naha1261","Eurasia","S/SE Asia","Indic","Eurasia"
142,"Kota","Dravidian",,"South Dravidian",,"South Dravidian I","Kota","regular",77,11,"FALSE","spoken",,,,,"Kota, Kota",,"kfe","kota1263","kota1263","Eurasia","S/SE Asia","Indic","Eurasia"
171,"Mandarin","Sino-Tibetan",,"Sinitic",,"Northern Sinitic","Mandarin","regular",110,35,"FALSE","spoken",,,,,"Mandarin, Mandarin","agricultural/pastoral","cmn","mand1415","mand1415","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
221,"Mishmi","Sino-Tibetan",,"Mishmi",,,"Digaru, Mishmi, Digaro","regular",96,28.42,"FALSE","spoken","Himalaya",,,,"Mishmi, Digaru, Mishmi, Digaro",,"mhu","diga1241","diga1241","Eurasia","S/SE Asia","Indic","Eurasia"
223,"Pumi","Sino-Tibetan",,"Qiangic",,,"Prinmi, Pumi","regular",101,28,"TRUE","spoken",,,,,"Pumi, Prinmi, Pumi",,"pus","sout2729","sout2729","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
225,"Lahu","Sino-Tibetan",,"Lolo-Burmese",,"Loloish","Lahu","regular",98.17,20,"FALSE","spoken",,"Central Loloish",,,"Lahu, Lahu","agricultural/pastoral","lhu","lahu1253","lahu1253","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
226,"Karen (Sgaw)","Sino-Tibetan",,"Karenic",,,"Karen (Sgaw)","regular",97.5,17.5,"FALSE","spoken",,,,,"Karen (Sgaw), Karen (Sgaw)",,"ksw","sgaw1245","sgaw1245","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
228,"Gorum","Austroasiatic",,"Munda",,"Southern Munda","Parengi, Gorum","regular",82.6,18.8,"FALSE","spoken",,"Koraput",,,"Gorum, Parengi, Gorum",,"pcj","pare1266","pare1266","Eurasia","S/SE Asia","Indic","Eurasia"
371,"Temiar","Austroasiatic",,"Southern Mon-Khmer",,"Aslian","Temiar","regular",101.5,5,"FALSE","spoken",,"Senoic",,,"Temiar, Temiar",,"tea","temi1246","temi1246","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
44,"Car","Austroasiatic",,"Southern Mon-Khmer",,"Nicobaric","Car, Car Nicobarese","regular",93,9,"FALSE","spoken",,,,,"Car, Car, Car Nicobarese",,"caq","carn1240","carn1240","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
1,"Great Andamanese","Great Andamanese",,,"Andamanese",,"Great Andamanese","regular",92.4,12,"TRUE","spoken",,,,"Great Andamanese","Great Andamanese, Great Andamanese",,"gac","grea1241","grea1241","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
2,"Onge","Onge",,,"Andamanese",,"Onge, Önge, Little Andamanese","regular",92.42,10.75,"FALSE","spoken",,,"Little Andamanese","Onge, Little Andamanese","Onge, Onge, Önge, Little Andamanese","hunting/fishing/foraging","oon","onge1236","onge1236","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
374,"Thai","Tai-Kadai",,,,,"Thai","regular",101,16,"TRUE","spoken",,,,"Tai-Kadai","Thai, Thai","agricultural/pastoral","tha","thai1261","thai1261","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
182,"Cao Miao","Tai-Kadai",,,,,"Miao, Cao Miao, Grass Miao, Mjiuniang, Sanjiang Miao","regular",107,27,"TRUE","spoken",,,,"Tai-Kadai","Cao Miao, Miao, Cao Miao, Grass Miao, Mjiuniang, Sanjiang Miao",,"cov","caom1238","caom1238","Eurasia","S/SE Asia","Southeast Asia","Eurasia"
327,"Paiwan","Austronesian",,"Paiwanic",,,"Paiwan","regular",120.83,22.5,"TRUE","spoken",,,,,"Paiwan, Paiwan","agricultural/pastoral","pwn","paiw1248","paiw1248","Eurasia","S/SE Asia","Oceania","Eurasia"
48,"Chamorro","Austronesian",,"Malayo-Polynesian",,,"Chamorro","regular",144.75,13.45,"FALSE","spoken",,,,,"Chamorro, Chamorro",,"cha","cham1312","cham1312","Eurasia","NG and Oceania","Oceania","Pacific"
362,"Tagalog","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Tagalog","regular",121,15,"FALSE","spoken",,,,,"Tagalog, Tagalog","agricultural/pastoral","tgl","taga1270","taga1270","Eurasia","S/SE Asia","Oceania","Eurasia"
384,"Tukang Besi","Austronesian",,"Malayo-Polynesian",,"Western Malayo-Polynesian non-clade","Tukang Besi","regular",123.5,-5.5,"FALSE","spoken",,,,,"Tukang Besi, Tukang Besi",,"bhq","tuka1249","tuka1249","Eurasia","NG and Oceania","Oceania","Pacific"
39,"Buru","Austronesian","West (Central Maluku)","Malayo-Polynesian",,"Central Malayo-Polynesian non-clade","Buru","regular",126.5,-3.5,"FALSE","spoken",,"Central Maluku",,,"Buru, Buru",,"mhs","buru1303","buru1303","Eurasia","NG and Oceania","Oceania","Pacific"
157,"Lamaholot","Austronesian","Flores-Lembata","Malayo-Polynesian",,"Central Malayo-Polynesian non-clade","Lamaholot, Solor, Solorese","regular",122.92,-8.25,"FALSE","spoken",,"Timor",,,"Lamaholot, Lamaholot, Solor, Solorese",,"slp","lama1277","lama1277","Eurasia","NG and Oceania","Oceania","Pacific"
381,"Tolai","Austronesian","Meso-Melanesian linkage","Malayo-Polynesian",,"Oceanic","Tolai, Kuanua, Raluana, Tuna","regular",152.08,-4.25,"FALSE","spoken",,"Western Oceanic linkage",,,"Tolai, Tolai, Kuanua, Raluana, Tuna",,"ksd","kuan1248","kuan1248","Eurasia","NG and Oceania","N Coast New Guinea","Pacific"
70,"Drehu","Austronesian","Southern Melanesian","Malayo-Polynesian",,"Oceanic","Drehu","regular",167.25,-21,"FALSE","spoken",,"Southern Oceanic linkage",,,"Drehu, Drehu",,"dhv","dehu1237","dehu1237","Eurasia","NG and Oceania","Oceania","Pacific"
368,"Tawala","Austronesian","Papuan Tip","Malayo-Polynesian",,"Oceanic","Tawala","regular",150.67,-10.33,"FALSE","spoken",,"Western Oceanic linkage",,,"Tawala, Tawala",,"tbo","tawa1275","tawa1275","Eurasia","NG and Oceania","S New Guinea","Pacific"
334,"Ponapean","Austronesian",,"Malayo-Polynesian",,"Oceanic","Ponapean","regular",158.25,6.88,"FALSE","spoken",,"Micronesian",,,"Ponapean, Ponapean",,"pon","pohn1238","pohn1238","Eurasia","NG and Oceania","Oceania","Pacific"
77,"Fijian (Boumaa)","Austronesian",,"Malayo-Polynesian",,"Oceanic","Fijian (Boumaa)","regular",178,-18,"FALSE","spoken",,"Central Pacific",,,"Fijian (Boumaa), Fijian (Boumaa)","agricultural/pastoral","fij","fiji1243","fiji1243","Eurasia","NG and Oceania","Oceania","Pacific"
346,"Samoan","Austronesian","Eastern Fijian-Polynesian linkage","Malayo-Polynesian",,"Oceanic","Samoan","regular",171.83,-13.92,"FALSE","spoken",,"Central Pacific",,,"Samoan, Samoan",,"smo","samo1305","samo1305","Eurasia","NG and Oceania","Oceania","Pacific"
146,"Kui (Indonesia)","Timor-Alor-Pantar",,"Alor-Pantar",,"Alor","Kui (Indonesia), Lerabain, Masin-Lak","regular",124,-8.3,"TRUE","spoken",,,,,"Kui (Indonesia), Kui (Indonesia), Lerabain, Masin-Lak",,"kvd","kuii1253","kuii1253","Pacific","NG and Oceania","Oceania","Pacific"
343,"Sahu","West Papuan",,"North Halmaheran",,,"Sahu","regular",127.5,1.17,"FALSE","spoken",,,,,"Sahu, Sahu",,"saj","sahu1245","sahu1245","Pacific","NG and Oceania","Oceania","Pacific"
