LID,Glottocode,Language,CohesionPatternLoc,MphmTypesInCohDomainProp,MphmTypesInCohPrefixDomainProp,MphmTypesInCohSuffixDomainProp,MphmTypesInCohStemDomainProp,MphmTypesInCohDomain,MphmTypesInCohDomainBinned77,CoherentEncliticBoundaryPresence,CoherentEnclEnclBoundaryPresence,CohPatternOutputOrigin,MphmTypesInCohDomainMultistemPresence,CohesionPatternLabel,CohesionPatternBinned18,CohesionPatternBinned12,CohesionPatternBinned4,CoherentPrefixBoundaryPresence,CoherentPrefixPrefixBoundaryPresence,CoherentPrefixStemBoundaryPresence,CoherentProclBoundaryPresence,CoherentProclPrefixBoundaryPresence,CoherentProclProcliticBoundaryPresence,CoherentProclStemBoundaryPresence,CohesionPatternDataSourceType,NumberMphmTypesInCohDomain,NumberMphmTypesInCohPrefixDomain,NumberMphmTypesInCohSuffixDomain,CoherentStemBoundaryPresence,CoherentStemEnclBoundaryPresence,CoherentStemEndoclBoundaryPresence,CoherentStemInfixBoundaryPresence,CoherentStemSuffixBoundaryPresence,CohesionPatternStressPresence,CohPatternStructurePreservingPresence,CoherentSuffixBoundaryPresence,CoherentSuffixEnclBoundaryPresence,CoherentSuffixSuffixBoundaryPresence,SurveyStatus,CohesionPatternType,MphmTypesInCohPrefixDomainPropBinned3,MphmTypesInCohSuffixDomainPropBinned3,MphmTypesInCohStemDomainPropBinned3
642,egyp1253,Arabic (Egyptian),right edge,0.285714285714286,0.25,0.5,1,stem ± suffix,3,0,0,Lexical,subphrasal,Superheavy VCC only Here (This type of superheavy syllable (coda cluster) is found only in this domain),constraint,constraint,segmental,0,0,0,0,0,0,0,Questionnaire,2,1,2,1,0,,,1,other,structure_preserving,0,0,1,pword exhaustive,P Domain,low,low,low
63,kumi1248,Diegueño,Min Domain,1,1.5,1,1,stem ± prefix ± entire circumfix,97,0,0,,subphrasal,Min V:  (Forms of this domain must be minimally long vowel to be free forms),size_related,size_related,size_related,0,1,1,,,,,,4,3,2,1,0,,,,other,,,,,pword exhaustive (double-checked),P Domain,medium,medium,low
691,tibe1272,Tibetan (Lhasa),spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,*C if -voice +asp (i.e. no aspirated voiceless C’s here) (No voiceless aspirated onset consonants are permitted in this domain (although they are permitted elsewhere)); this constraint is resolved by: deaspiration (process where aspiration feature deleted/disassociated from a constituent),weakening,process,segmental,0,0,0,,,,,,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,low,medium,low
690,mana1288,Manange,right edge,0.75,0.5,1,1,stem ± suffix ± post particle,50,0,0,Lexical,subphrasal,*C if -voice +asp (i.e. no aspirated voiceless C’s here) (No voiceless aspirated onset consonants are permitted in this domain (although they are permitted elsewhere)); this constraint is resolved by: deaspiration (process where aspiration feature deleted/disassociated from a constituent),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,3,1,3,1,1,,,1,other,structure_preserving,0,1,1,pword exhaustive,P Domain,low,medium,low
206,nepa1254,Nepali,left edge,0.25,0.5,0.3333333333333333,1,stem,2,0,0,Lexical,subphrasal,Voiced Asp C Only Here (The onset consonant may only be a voiced aspirated consonant in this domain),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
502,nucl1301,Turkish,right edge,0.8,0.5,1,1,Stem ± Suffix ± Semirestricted ± Enclitic,95,0,1,Lexical,subphrasal,"*C coda if /b, c, g/ (List of codas not permitted in this domain)",constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,4,1,4,1,1,,,1,other,structure_preserving,0,1,1,pword exhaustive,P Domain,low,medium,low
165,gand1255,Luganda,right edge,0.6,0.6666666666666667,0.6666666666666667,1,stem + prefix + suffix,18,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: VV Concatentation and Glide formation (2 resolutions: a vowel/syllable deleted, and a glide formation)",weakening,process,segmental,0,0,1,0,0,0,0,Written unpublished,3,2,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
63,kumi1248,Diegueño,right edge,0.5,1,0.5,1,prefix + stem,4,0,0,,subphrasal,*V if schwa (in this domain schwa is banned/does not occur); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion),deletion,process,segmental,0,0,1,,,,,Questionnaire,2,2,1,0,0,,,,other,,,,,pword exhaustive (double-checked),P Domain,medium,low,low
691,tibe1272,Tibetan (Lhasa),spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,*C Unless s (The fricative /s/ is the only consonant permitted in this domain),constraint,constraint,segmental,0,0,0,,,,,,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,low,medium,low
580,yidi1250,Yidiny,left edge,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,*C if Velar Nasal (the velar nasal coda consonant is not permitted in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
176,mapu1245,Mapudungun,,,,,,,,,,,,*C Coda unless Continuant (Only + continuant coda consonants are permitted in this domain),constraint,constraint,segmental,,,,,,,,,,,,,,,,,other,,,,,not yet exhaustive,P Domain,,,
165,gand1255,Luganda,spans,0.4,0.6666666666666667,0.6666666666666667,2,stem + stem,22,,0,Unknown,phrasal,Max 1 H-L Tone Combination (Only one of this particular tone combination spans this domain),tone,tone,suprasegmental,0,0,0,0,0,0,0,Written unpublished,2,2,2,0,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
206,nepa1254,Nepali,left edge,0.5,0.5,0.6666666666666667,1,stem ± suffix,3,0,0,N/A,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,0,0,,,,,Grammar Explicit,2,1,2,1,0,,,1,stress-related,non_structure_preserving,0,0,1,pword exhaustive (double-checked),P Domain,low,low,low
690,mana1288,Manange,spans,1,1,0.6666666666666667,1,stem ± prefix ± suffix ± particle,55,0,1,Non-Lexical,subphrasal,"Exactly 1 Main Stress, Penult (The location of the main (lexical) stress is defined by this domain)",stress,stress,suprasegmental,0,1,1,,,,,Grammar Explicit,4,2,2,1,1,,,1,stress-related,non_structure_preserving,0,1,1,pword exhaustive,P Domain,medium,low,low
502,nucl1301,Turkish,spans,0.8,0.5,1,1,Stem ± Suffix ± Semirestricted ± Enclitic,95,0,1,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,0,0,,,,,Grammar Explicit,4,1,4,1,1,,,1,stress-related,structure_preserving,0,1,1,pword exhaustive,P Domain,low,medium,low
580,yidi1250,Yidiny,left edge,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,*C if Lateral Approx (The lateral approximant onset is not permitted in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
176,mapu1245,Mapudungun,,,,,,,,,,,,*C if Mapudungun Glide (No ‘mapudungun glide’ onset in this domain),constraint,constraint,segmental,,,,,,,,,,,,,,,,,other,,,,,not yet exhaustive,P Domain,,,
580,yidi1250,Yidiny,Min Domain,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,Min Disyllabic (A free form must be minimally this size; may include specific morphological domain or lexical information (see language-specific records)),size_related,size_related,size_related,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
63,kumi1248,Diegueño,right edge,0.25,0.5,0.5,1,stem,2,0,0,Lexical,subphrasal,"Exactly 1 Main Stress, Heavy (The main lexical stress targets heavy/bimoraic syllables in this domain)",stress,stress,suprasegmental,0,0,0,,,,,,1,1,1,1,0,,,,stress-related,structure_preserving,,,,pword exhaustive (double-checked),P Domain,low,low,low
642,egyp1253,Arabic (Egyptian),left edge,1,1,1,1,Stem ± Prefix ± Circumfixes ± Suffix ± Clitics,88,0,1,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,1,1,1,1,1,1,Questionnaire,7,4,4,1,1,,,1,stress-related,structure_preserving,0,1,1,pword exhaustive,P Domain,medium,medium,low
580,yidi1250,Yidiny,spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,Exactly 1 Main Stress V: (The single main stress targets long vowels in this domain),stress,stress,suprasegmental,0,0,0,,,,,Questionnaire,2,1,2,1,,,,1,stress-related,structure_preserving,0,,1,pword exhaustive (double-checked),P Domain,low,medium,low
176,mapu1245,Mapudungun,spans,1,2,1,2,stem + suffix ± stem,3,,,Lexical,phrasal,"Exactly 1 Main Stress, Heavy (The main lexical stress targets heavy/bimoraic syllables in this domain)",stress,stress,suprasegmental,,,,,,,,Questionnaire,3,2,3,1,,,,1,stress-related,structure_preserving,,,,not yet exhaustive,P Domain,high,medium,low
642,egyp1253,Arabic (Egyptian),left edge,0.285714285714286,0.25,0.5,1,stem + suffix,3,0,0,Unknown,subphrasal,"Vowel Harmony (There is an unspecified type of vowel harmony in this domain); this constraint is resolved by: vowel assimilation, backness is dominant (‘back’ vowels are dominant and determine nature of assimilation)",vowel_harmony,process,segmental,0,0,0,0,0,0,0,Questionnaire,2,1,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
690,mana1288,Manange,spans,0.5,0.5,0.6666666666666667,1,stem + postposed particle,49,0,0,Lexical,subphrasal,"Vowel Harmony, Backness (A process of vowel harmony with Back as a feature applies in this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",vowel_harmony,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,0,1,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
502,nucl1301,Turkish,spans,0.8,0.5,1,1,Stem ± Suffix ± Semirestricted ± Enclitic,95,0,1,Lexical,subphrasal,"Vowel Harmony (There is an unspecified type of vowel harmony in this domain); this constraint is resolved by: Palatal Assimilation (If the first vowel is a back vowel, any subsequent vowel is also a back vowel, if the first is a front vowel, any subsequent vowel is also a front vowel.)",vowel_harmony,process,segmental,0,0,0,,,,,Grammar Explicit,4,1,4,1,1,,,1,other,structure_preserving,0,1,1,pword exhaustive,P Domain,low,medium,low
77,fiji1243,Fijian (Boumaa),left edge,0.25,0.3333333333333333,0.5,1,stem,2,,,Not lexical: borrowing,subphrasal,*C if /f/ (Onset may not be the voiceless labio-dental fricative in this domain),constraint,constraint,segmental,0,0,0,0,0,0,0,Grammar Explicit,1,1,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
677,swed1254,Swedish,spans,0.6,1,0.6666666666666667,1,stem ± prefix ± suffix,18,0,0,Unknown,subphrasal,"Assimilation: Retroflextion (There is a spread of retroflexion manner across this domain); this constraint is resolved by: anticipatory spread/assimilation (extension of association of feature(s) of one constituent to another, based on what follows (“regressive”))",assimilation,process,segmental,0,1,1,,,,,Questionnaire,3,2,2,0,0,,,1,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,medium,low,low
677,swed1254,Swedish,Min Domain,0.2,0.5,0.3333333333333333,1,stem,2,0,0,Lexical,subphrasal,Min CV:  (This domain must minimally be a CV: syllable type); this constraint is resolved by: Vowel Lengthening (a vowel is lengthened under these conditions),size_related,size_related,size_related,0,0,0,,,,,Questionnaire,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
677,swed1254,Swedish,right edge,0.4,0.5,0.6666666666666667,1,stem ± suffix,3,0,0,Lexical,subphrasal,Superheavy VCCC (Superheavy syllables of this type (triple coda cluster) are found only in this domain (this is a privileged domain for this superheavy syllable type)),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,2,1,2,1,0,,,1,other,structure_preserving,0,0,1,pword exhaustive,P Domain,low,low,low
677,swed1254,Swedish,Min Domain,0.2,0.5,0.3333333333333333,1,stem,2,0,0,Unknown,subphrasal,Min Disyllable for Pitch-Accent (This domain is minimally disyllabic for the purposes of pitch-accent),size_related,size_related,size_related,0,0,0,,,,,Questionnaire,1,1,1,1,0,,,0,other,non_structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
63,kumi1248,Diegueño,Min Domain,0.5,0.5,1,1,stem ± suffix,3,0,0,Lexical,subphrasal,Min VC (Single phonological unit is no smaller than bi-mora),size_related,size_related,size_related,0,0,0,,,,,,2,1,2,1,0,,,,other,structure_preserving,,,,pword exhaustive (double-checked),P Domain,low,medium,low
165,gand1255,Luganda,Min Domain,0.2,0.3333333333333333,0.3333333333333333,1,stem,2,0,0,Lexical,subphrasal,"Min Bimora, General (This domain must minimally be bimoraic (CV: or CVC))",size_related,size_related,size_related,0,0,0,0,0,0,0,Written unpublished,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
206,nepa1254,Nepali,right edge,0.5,0.5,0.6666666666666667,1,stem ± suffix,3,0,0,Lexical,subphrasal,Superheavy V:C only Here (This type of superheavy syllable (long vowel + coda) occurs only in this domain),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,1,0,,,1,other,structure_preserving,0,0,1,pword exhaustive (double-checked),P Domain,low,low,low
642,egyp1253,Arabic (Egyptian),right edge,0.142857142857143,0.25,0.25,1,stem,2,0,0,Lexical,subphrasal,Superheavy V:C only Here (This type of superheavy syllable (long vowel + coda) occurs only in this domain),constraint,constraint,segmental,0,0,0,0,0,0,0,Questionnaire,1,1,1,1,0,,,0,other,structure_preserving,0,0,0,pword exhaustive,P Domain,low,low,low
691,tibe1272,Tibetan (Lhasa),spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,"Single Tone Contour/Melody (A single (one and only one), contrastive pitch contour/melody spans this domain); this constraint is resolved by: perseverative spread/assimilation (extension of association of feature(s) of one constituent to another, based on what precedes (“progressive”))",tone,tone,suprasegmental,0,0,0,,,,,Grammar Explicit,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,low,medium,low
206,nepa1254,Nepali,spans,0.5,0.5,0.6666666666666667,1,stem + suffix,3,0,0,Lexical,subphrasal,"*V.V (2 syllables with series of vowel-only, or where first syllable is open and 2nd syllable has no onset, not permitted in this domain; a hiatus-type constraint); this constraint is resolved by: Dipththong Formation (Two vowels merge into a single syllable that has a diphthong)",weakening,process,segmental,0,0,0,,,,,Grammar Implicit,2,1,2,0,0,,,1,other,structure_preserving,0,0,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,right edge,0.333333333333333,0.5,0.5,1,stem,2,,,Non-Lexical,subphrasal,Superheavy V:C only Here (This type of superheavy syllable (long vowel + coda) occurs only in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,left edge,0.333333333333333,0.5,0.5,1,stem,2,,,Non-Lexical,subphrasal,*C onset Voiced Stop (No voiced stop onsets are permitted/occur in this domain); this constraint is resolved by: devoicing (loss of/de-association of voicing feature),strengthening,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Non-Lexical,subphrasal,Penult Vowel Lengthening (In this domain a penult syllable vowel is lengthened); this constraint is resolved by: Vowel Lengthening (a vowel is lengthened under these conditions),quantity,quantity,suprasegmental,0,0,0,,,,,Questionnaire,2,1,2,1,,,,1,other,non_structure_preserving,0,,1,pword exhaustive (double-checked),P Domain,low,medium,low
580,yidi1250,Yidiny,right edge,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,*C if Palatal Nasal (No palatal nasal codas are permitted/occur in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive (double-checked),P Domain,low,medium,low
580,yidi1250,Yidiny,right edge,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,/l/ > [ɽ] Alternation (A voiced plosive (tap?) is restricted/banned in this domain (specific to Yidiny so far)); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,right edge,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,*iy Sequence (This type of rhyme structure is banned/dispreferred in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive (double-checked),P Domain,low,medium,low
580,yidi1250,Yidiny,right edge,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,*V (no vowel here) (A specific vowel not permitted in this domain); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion),deletion,process,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,right edge,0.666666666666667,0.5,1,1,stem + suffix,3,,,Lexical,subphrasal,Even Number of Syllables Preferred (This domain prefers structures with even (as opposed to odd) syllable number); this constraint is resolved by: vowel deletion/syllable deletion (removal of a vowel constituent; if vowel is syllabic then same as syllable deletion),rhythm,rhythm,suprasegmental,0,0,0,,,,,Questionnaire,2,1,2,0,,,,1,other,structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,low
580,yidi1250,Yidiny,spans,0.666666666666667,0.5,1,1,stem + suffix,3,,,Non-Lexical,subphrasal,Nasal Insertion Only Here (Nasal insertion occurs in this domain); this constraint is resolved by: ɲ insertion (A palatal nasal insertion),insertion,process,segmental,0,0,0,,,,,Questionnaire,2,1,2,0,,,,1,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,medium,low
580,yidi1250,Yidiny,medial,0.333333333333333,0.5,0.5,1,stem,2,,,Unknown,subphrasal,Superheavy VCC only Here (This type of superheavy syllable (coda cluster) is found only in this domain),constraint,constraint,segmental,0,0,0,,,,,Questionnaire,1,1,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,Maximum 7 Syllables (Maximal size for a domain of this type),size_related,size_related,size_related,0,0,0,,,,,Grammar Explicit,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive (double-checked),P Domain,low,medium,low
580,yidi1250,Yidiny,spans,0.333333333333333,0,0,0,affix,23,,,Lexical,subphrasal,Maximum Disyllabic (Maximal phonological size for a domain of this type),size_related,size_related,size_related,1,0,0,,,,,Questionnaire,1,0,0,0,,,,0,other,structure_preserving,1,,0,pword exhaustive (double-checked),P Domain,low,low,low
580,yidi1250,Yidiny,spans,0.333333333333333,0.5,0.5,1,stem,2,,,Unknown,subphrasal,"Interaction: Odd Number Syllables = 2 + V:’s and 2 stresses (This domain stipulates that there is a restriction on where series of long vowels may occur; in words with an odd number of syllables, there must be 2 or more long vowels and 2 stresses.  Stress is always attracted to long vowels)",rhythm,rhythm,suprasegmental,0,0,0,,,,,Grammar Implicit,1,1,1,1,,,,0,other,non_structure_preserving,0,,0,pword exhaustive (double-checked),P Domain,low,low,low
691,tibe1272,Tibetan (Lhasa),spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,"*C Unless Vless Unasp Bilab Plosive (Restrictions on coda C’s: specifically, the coda may only be /p/)",constraint,constraint,segmental,0,0,0,,,,,Grammar Implicit,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,low,medium,low
691,tibe1272,Tibetan (Lhasa),spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,"*C Final Unless Bilab Nasal (Restrictions on coda C’s: specifically, the coda can only be /m/)",constraint,constraint,segmental,0,0,0,,,,,Grammar Implicit,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,low,medium,low
691,tibe1272,Tibetan (Lhasa),spans,1,1,1,1,stem + prefix ± suffix,18,,,Non-Lexical,subphrasal,Maximum 7 Syllables (Maximal size for a domain of this type),size_related,size_related,size_related,0,0,1,,,,,Grammar Implicit,3,2,2,1,,,,1,other,non_structure_preserving,0,,1,pword exhaustive,P Domain,medium,medium,low
691,tibe1272,Tibetan (Lhasa),spans,1,1,1,1,stem ± prefix ± suffix,18,,,Lexical,subphrasal,Exactly 1 Main Stress (In this domain there is exactly one main stress; the location of stress is morphologically determined but stress itself spans the domain),stress,stress,suprasegmental,0,1,1,,,,,,3,2,2,0,,,,1,stress-related,structure_preserving,0,,0,pword exhaustive,P Domain,medium,medium,low
691,tibe1272,Tibetan (Lhasa),spans,0.666666666666667,0.5,1,1,stem ± suffix,3,,,Lexical,subphrasal,*C if k (/k/ as an onset is banned in this domain); this constraint is resolved by: lenition (weakening of overall strength of a segment),weakening,process,segmental,0,0,0,,,,,Grammar Explicit,2,1,2,1,,,,1,other,structure_preserving,0,,1,pword exhaustive,P Domain,low,medium,low
691,tibe1272,Tibetan (Lhasa),left edge,0.333333333333333,0.5,0.5,1,stem,2,,,Lexical,subphrasal,Unvoiced lat. approx only Here  (The only consonant permitted in this domain is the unvoiced lateral approximant),constraint,constraint,segmental,0,0,0,,,,,Grammar Explicit,1,1,1,1,,,,0,other,structure_preserving,0,,0,pword exhaustive,P Domain,low,low,low
