"Module","Variable","VariantOf","SetUp","DataEntry","VariableType","DataType","N.levels","N.entries","N.languages","Description"
"Alignment","AlignmentRefCondition","AlignmentRefCondition","multiple entries per language","derived","condition","categorical",218,260896,696,"The referential or part of speech category that conditions whether the selector aligns (selects) arguments. Language-specific conditions end with an LID."
"Alignment","AlignmentValClassCondition","AlignmentValClassCondition","multiple entries per language","derived","condition","categorical",2540,18654,696,"The set of valence classes for which the alignment holds (#1, #2, #3 denote the default class, while all other denote non-default classes in the sense of Bickel et al. 2014 in Studies in Language). The specific classes can be retrieved from the Valence classes module via the numerical identifiers (Field ""ValClassID"")"
"Alignment","AlignmentRankCondition","AlignmentRankCondition","multiple entries per language","derived","condition","categorical",3,157028,696,"The clause rank (main vs. dependent) that conditions the alignment"
"Alignment","AlignmentMarkerSlot","AlignmentMarkerSlot","multiple entries per language","derived","condition","categorical",48,239101,696,"The morphological slot of the marker; prefixes are indicated with the minus symbol (e.g. -1 stands for the prefix slot closest to the stem)"
"Alignment","AlignmentTequivalentP.Presence","AlignmentSAPTG","multiple entries per language","derived","data","logical",2,17247,389,"Generalized semantic role T (as defined in Bickel et al. 2014 in Studies in Language) treated like P"
"Alignment","AlignmentCatCondition","AlignmentCatCondition","multiple entries per language","derived","condition","categorical",151,240109,696,"The category that conditions the alignment. Language-specific conditions begin with an LID."
"Alignment","AlignmentRefCoArgA","AlignmentRefCoArgA","multiple entries per language","derived","condition","categorical",29,242242,696,"The referential or part of speech category of the A co-argument. See Witzlack-Makarevich et al. 2016 (in Lingustics)"
"Alignment","AlignmentMarker.overt","AlignmentMarker.overt","multiple entries per language","derived","data","categorical",2,242242,163,"Whether or not the marker is overt (not zero)"
"Alignment","AlignmentRefCoArgP","AlignmentRefCoArgP","multiple entries per language","derived","condition","categorical",29,242242,696,"The referential or part of speech category of the P co-argument. See Witzlack-Makarevich et al. 2016 (in Lingustics)"
"Alignment_case_splits","CaseAPSplitByRef","CaseSplitByRef","multiple entries per language","derived","data","categorical",4,1326,646,"Splitting of the case marking of A and/or P by referential or parts of speech category conditions"
"Alignment_per_language","AlignmentAgrAccDegree.binned3","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",3,336,336,"Proportion of S≠P alignments among all conditions for agreement, binned into three 1/3 categories"
"Alignment_per_language","AlignmentAgrAccDegree","AlignmentSAPTG","single aggregated entry per language","derived","data","ratio",3,336,336,"Proportion of S≠P alignments among all conditions for agreement (based on which arguments trigger agreement vs do not trigger agreement, not based on morphological shape of markers)"
"Alignment_per_language","AlignmentAgrDominantPTG","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",5,180,180,"The most common alignment of P, T, and G (as defined in Bickel et al. 2014 in Studies in Language) among all conditions ('mixed' if there is a tie) in agreement (based on which arguments trigger agreement vs do not trigger agreement, not based on morphological shape of markers)"
"Alignment_per_language","AlignmentAgrDominantSAP","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",5,336,336,"The most common alignment of S, A, and P (as defined in Bickel et al. 2014 in Studies in Language) among all conditions ('mixed' if there is a tie) in agreement (based on which arguments trigger agreement vs do not trigger agreement, not based on morphological shape of markers)"
"Alignment_per_language","AlignmentAgrDominantSAPTG","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",13,180,180,"The most common alignment of S, A, P, T, and G (as defined in Bickel et al. 2014 in Studies in Language) among all conditions ('mixed' if there is a tie) in agreement (based on which arguments trigger agreement vs do not trigger agreement, not based on morphological shape of markers)"
"Alignment_per_language","AlignmentAgrErgDegree.binned3","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",3,336,336,"Proportion of S≠A alignments among all conditions for agreement, binned into three 1/3 categories"
"Alignment_per_language","AlignmentAgrErgDegree","AlignmentSAPTG","single aggregated entry per language","derived","data","ratio",3,336,336,"Proportion of S≠A alignments among all conditions for agreement (based on which arguments trigger agreement vs do not trigger agreement, not based on morphological shape of markers)"
"Alignment_per_language","AlignmentCaseAccDegree.binned3","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",3,646,646,"Proportion of S≠P alignments among all conditions for case, binned into three 1/3 categories"
"Alignment_per_language","AlignmentCaseAccDegree","AlignmentSAPTG","single aggregated entry per language","derived","data","ratio",36,646,646,"Proportion of S≠P alignments among all conditions for case"
"Alignment_per_language","AlignmentCaseDominantPTG","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",5,353,353,"The most common alignment of P, T, and G (as defined in Bickel et al. 2014 in Studies in Language) among all conditions ('mixed' if there is a tie) in case marking"
"Alignment_per_language","AlignmentCaseDominantSAP","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",5,646,646,"The most common alignment of S, A, and P (as defined in Bickel et al. 2014 in Studies in Language) among all conditions ('mixed' if there is a tie) in case marking"
"Alignment_per_language","AlignmentCaseDominantSAPTG","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",15,353,353,"The most common alignment of S, A, P, T, and G (as defined in Bickel et al. 2014 in Studies in Language) among all conditions ('mixed' if there is a tie) in case marking"
"Alignment_per_language","AlignmentCaseErgDegree.binned3","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",3,646,646,"Proportion of S≠A alignments among all conditions for case, binned into three 1/3 categories"
"Alignment_per_language","AlignmentCaseErgDegree","AlignmentSAPTG","single aggregated entry per language","derived","data","ratio",29,646,646,"Proportion of S≠A alignments among all conditions for case"
"Alignment_per_language","AlignmentCaseDominantLexSAP","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",3,308,308,"The dominant alignment of S, A, and P (as defined in Bickel et al. 2014 in Studies in Language) for case marking on lexical arguments, following Comrie's (2005 in WALS) procedure for determining what is dominant"
"Alignment_per_language","AlignmentCaseDominantProSAP","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",3,384,384,"The dominant alignment of S, A, and P (as defined in Bickel et al. 2014 in Studies in Language) for case marking on pronominal arguments, following Comrie's (2005 in WALS) procedure for determining what is dominant"
"Alignment_per_language","CaseSplitByPolarity.Presence","CaseSplitByPolarity.Presence","single aggregated entry per language","derived","data","logical",1,646,646,"Case marking split by polarity conditions"
"Alignment_per_language","AgrSplitByRef.Presence","AgrSplitByRef.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Agreement syntax split by referential or parts of speech category conditions"
"Alignment_per_language","CaseSplitByRef.Presence","CaseSplitByRef.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Case marking split by referential or part-of-speech category conditions"
"Alignment_per_language","AgrSplitByValClass.Presence","AgrSplitByValClass.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Agreement syntax split by lexical valence class conditions"
"Alignment_per_language","CaseSplitByValClass.Presence","CaseSplitByValClass.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Case marking split by lexical valence class conditions"
"Alignment_per_language","AgrSplitByRank.Presence","AgrSplitByRank.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Agreement syntax split by clause rank (main, dependent etc.) conditions"
"Alignment_per_language","CaseSplitByRank.Presence","CaseSplitByRank.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Case marking split by clause rank (main, dependent etc.) conditions"
"Alignment_per_language","AgrSplitByCat.Presence","AgrSplitByCat.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Agreement syntax split by verbal category (TAM, forms etc.) conditions"
"Alignment_per_language","CaseSplitByCat.Presence","CaseSplitByCat.Presence","single aggregated entry per language","derived","data","logical",2,646,646,"Case marking split by verbal category (TAM, forms etc.) conditions"
"Alignment_per_language","AlignmentAgrMarkerAccDegree","AlignmentSAPTG","single aggregated entry per language","derived","data","ratio",72,163,163,"Proportion of S≠P alignments among all conditions for agreement (based on morphological shape of markers)"
"Alignment_per_language","AlignmentAgrMarkerDominantSAP","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",4,163,163,"The most common alignment of S, A, and P (as defined in Bickel et al. 2014 in Studies in Language) among all conditions ('mixed' if there is a tie) in agreement (based on morphological shape of markers)"
"Alignment_per_language","AlignmentAgrMarkerErgDegree.binned3","AlignmentSAPTG","single aggregated entry per language","derived","data","categorical",3,163,163,"Proportion of S≠A alignments among all conditions for agreement (based on morphological shape of markers), binned into three categories (1/3 each)"
"Alignment_per_language","AlignmentAgrMarkerErgDegree","AlignmentSAPTG","single aggregated entry per language","derived","data","ratio",48,163,163,"Proportion of S≠A alignments among all conditions for agreement (based on morphological shape of markers)"
"Clause_linkage","AnticipatoryArgumenyMarking","AnticipatoryArgumenyMarking","multiple entries per language","by hand","data","categorical",2,68,25,"Anticipatory argument marking in clause linkage (as defined in Bickel 2010)"
"Clause_linkage","CataphoraConstraints","CataphoraConstraints","multiple entries per language","by hand","data","categorical",2,25,5,"Cataphora (backward control) in clause linkage (as defined in Bickel 2010)"
"Clause_linkage","CategoricalSymmetry","CategoricalSymmetry","multiple entries per language","by hand","data","categorical",3,82,28,"Paradigm and word class choices in clause linkage (as defined in Bickel 2010)"
"Clause_linkage","ClauseLayer","ClauseLayer","multiple entries per language","by hand","data","categorical",5,95,33,"Attachment level in clause linkage (as defined in Bickel 2010)"
"Clause_linkage","ClausePosition","ClausePosition","multiple entries per language","by hand","data","categorical",4,89,32,"Clause order in clause linkage (as defined in Bickel 2010)"
"Clause_linkage","Embedding","Embedding","multiple entries per language","by hand","data","categorical",2,101,36,"Syntactic relation of dependent clauses (as defined in Bickel 2010)"
"Clause_linkage","ExtractionConstraints","ExtractionConstraints","multiple entries per language","by hand","data","categorical",2,40,8,"Extraction constraints in clause linkage (as defined in Bickel 2010)"
"Clause_linkage","Finiteness","Finiteness","multiple entries per language","by hand","data","ratio",3,40,15,"Verbal categories codable in dependent clause (as defined in Bickel 2010)"
"Clause_linkage","FinitenessRatio","Finiteness","multiple entries per language","by hand","data","categorical",11,84,26,"Verbal categories codable in dependent clause divided by available categories in the language (as defined in the section on verb inflectional synthesis)"
"Clause_linkage","FinitenessSimplified","Finiteness","multiple entries per language","by hand","data","categorical",3,91,29,"Three-way breakdown of finiteness, adapted from Bickel 2009 (as defined in Bickel 2010)"
"Clause_linkage","FocusMarkinginDependent","FocusMarkinginDependent","multiple entries per language","by hand","data","categorical",2,47,10,"Constituent focus or WH question inside the dependent clause (as defined in Bickel 2010)"
"Clause_linkage","FocusMarking","FocusMarking","multiple entries per language","by hand","data","categorical",2,43,12,"Focus marking on dependent clauses (as defined in Bickel 2010)"
"Clause_linkage","Label","Label","multiple entries per language","by hand","register","categorical",100,102,37,"Unique identifier of each construction"
"Clause_linkage","IllocutionaryMarking","IllocutionaryMarking","multiple entries per language","by hand","data","categorical",3,71,21,"Illocutionary force marking in dependent clauses (as defined in Bickel 2010)"
"Clause_linkage","IllocutionaryScope","IllocutionaryScope","multiple entries per language","by hand","data","categorical",5,78,25,"Scope of main clause illocutionary force markers (as defined in Bickel 2010)"
"Clause_linkage","InterpropositionalSemanticRelation","InterpropositionalSemanticRelation","multiple entries per language","by hand","data","categorical",12,76,33,"Semantic relationship in clause linkage (as defined in Bickel 2010)"
"Clause_linkage","IntuitiveClassification","IntuitiveClassification","multiple entries per language","by hand","data","categorical",4,77,34,"Intuitive classification into subordination vs. coordination, as given by reference grammars etc."
"Clause_linkage","OriginalName","OriginalName","multiple entries per language","by hand","register","categorical",39,50,20,"Original name of the construction as given by reference grammars etc."
"Clause_linkage","ReferenceTrackingSystem","ReferenceTrackingSystem","multiple entries per language","by hand","data","categorical",4,57,23,"Reference tracking system"
"Clause_linkage","TenseMarking","TenseMarking","multiple entries per language","by hand","data","categorical",3,87,30,"Tense marking in dependent clause (as defined in Bickel 2010)"
"Clause_linkage","TenseScope","TenseScope","multiple entries per language","by hand","data","categorical",3,82,27,"Scope of main clause tense markers (as defined in Bickel 2010)"
"Clause_word_order","WordOrderAPLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",3,384,384,"Relative order of A and O, or mixed (allowing both)"
"Clause_word_order","WordOrderAPBasicLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",2,383,383,"Basic order of lexical A and O"
"Clause_word_order","WordOrderAVBasicLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",2,397,397,"Basic order of lexical A and V"
"Clause_word_order","PositionVBasicLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",4,455,455,"Basic position of V in clauses with pronominal A and O"
"Clause_word_order","WordOrderAPVBasicLex","WordOrderAPVBasicLex","single aggregated entry per language","by hand","data","categorical",10,455,455,"Basic order of lexical A, O and V (labelled S, O, V for backward compatibility)"
"Clause_word_order","PositionVBasicLex.binned.v4","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",2,400,400,"Basic position of V in clauses with lexical A and O"
"Clause_word_order","PositionVBasicLex.binned.v1","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",2,455,455,"Basic position of V in clauses with lexical A and O"
"Clause_word_order","PositionVBasicLex.binned.v3","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",2,455,455,"Basic position of V in clauses with lexical A and O"
"Clause_word_order","PositionVBasicLex.binned.v2","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",2,455,455,"Basic position of V in clauses with lexical A and O"
"Clause_word_order","WordOrderPVBasicLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",2,397,397,"Basic order of lexical O and V"
"Clause_word_order","WordOrderAPSecondaryLex","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",2,20,20,"Secondary order of lexical A and O"
"Clause_word_order","WordOrderAVSecondaryLex","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",2,20,20,"Secondary order of lexical A and V"
"Clause_word_order","PositionVSecondaryLex","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",4,21,21,"Secondary position of V in clauses with pronominal A and O"
"Clause_word_order","WordOrderAPVSecondaryLex","WordOrderAPVSecondaryLex","single aggregated entry per language","by hand","data","categorical",6,21,21,"Secondary order of lexical A, O and V"
"Clause_word_order","PositionVSecondaryLex.binned.v4","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",2,20,20,"Secondary position of V in clauses with lexical A and O"
"Clause_word_order","PositionVSecondaryLex.binned.v1","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",2,21,21,"Secondary position of V in clauses with lexical A and O"
"Clause_word_order","PositionVSecondaryLex.binned.v3","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",2,21,21,"Secondary position of V in clauses with lexical A and O"
"Clause_word_order","PositionVSecondaryLex.binned.v2","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",2,21,21,"Secondary position of V in clauses with lexical A and O"
"Clause_word_order","WordOrderPVSecondaryLex","WordOrderAPVSecondaryLex","single aggregated entry per language","derived","data","categorical",2,20,20,"Secondary order of lexical O and V"
"Clause_word_order","VFinalLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",3,401,401,"Verb-final vs. other word order vs. mixed (allowing both)"
"Clause_word_order","VFinalOrFreeLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",3,455,455,"Verb-final or free word order vs. other vs. mixed (allowing both)"
"Clause_word_order","WordOrderAPVLexFlexible","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",3,455,455,"Flexible (structurally conditioned) vs. rigid word order of lexical arguments"
"Clause_word_order","VInitialLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",3,455,455,"Verb-initial vs. other word order vs. mixed (allowing both)"
"Clause_word_order","VMedialLex","WordOrderAPVBasicLex","single aggregated entry per language","derived","data","categorical",3,455,455,"Verb-medial vs. other word order vs. mixed (allowing both)"
"Clause_word_order","WordOrderSVBasicLex","WordOrderSVBasicLex","single aggregated entry per language","by hand","data","categorical",3,28,28,"Basic order of lexical S and V"
"Clause_word_order","WordOrderSVSecondaryLex","WordOrderSVSecondaryLex","single aggregated entry per language","by hand","data","categorical",1,1,1,"Secondary order of lexical S and V"
"Clusivity","InclExclAsPerson.Presence","InclExclAsPerson","single aggregated entry per language","by hand","data","logical",2,427,427,"Inclusive/exclusive as person category (""Belhare type"", as defined in Bickel & Nichols 2005 in Filimonova ed. Clusivity, Amsterdam: Benjamins, 47-70)"
"Clusivity","InclExclAny.Presence","InclExclAny","single aggregated entry per language","by hand","data","logical",2,466,466,"Presence of any kind of Inclusive/exclusive distinction"
"Clusivity","InclExclType","InclExclType","single aggregated entry per language","derived","data","categorical",4,466,466,"Type of inclusive/exclusive distinction, as defined in Bickel & Nichols 2005 in Filimonova ed. Clusivity, Amsterdam: Benjamins, 47-70"
"Clusivity","InclExclAsMinAug.Presence","InclExclAsMinAug","single aggregated entry per language","by hand","data","logical",2,424,424,"Presence of an inclusive/exclusive distinction with a minimal/augmented number system (as defined in Bickel & Nichols 2005 in Filimonova ed. Clusivity, Amsterdam: Benjamins, 47-70)"
"Gender","Gender.n","Gender","single aggregated entry per language","by hand","data","ratio",12,112,112,"How many gender classes the language has."
"Gender","Gender.binned4","Gender","single aggregated entry per language","derived","data","categorical",4,112,112,"How many gender classes the language has, binned into four levels:  2, 3, 4, more."
"Gender","Gender.Presence","Gender","single aggregated entry per language","derived","data","logical",2,313,311,"Genders are vs. are not present in the language."
"GR_per_language","CoArgSensitivityAgr.Presence","CoArgSensitivityAgr.Presence","single entry per language","derived","data","logical",2,171,171,"Grammatical agreement which is sensitive to coarguments"
"GR_per_language","VAgreement.Presence.v1","VAgreement.Presence","single entry per language","by hand","data","logical",2,631,630,"Grammatical agreement (in the sense of Bickel & Nichols 2007 in Shopen, T. [ed.] Language Typology and Syntactic Description. CUP)"
"GR_per_language","CoArgSensitivityCase.Presence","CoArgSensitivityCase.Presence","single entry per language","derived","data","logical",2,655,654,"Case marking which is sensitive to coarguments"
"Grammatical_markers","AUTOTYPLabel","AUTOTYPLabel","multiple entries per language","by hand","register","categorical",176,4916,811,"Category label, for identification purposes only. Not a variable!  Do not use for typological purposes!"
"Grammatical_markers","Behavior.binned4","Behavior","multiple entries per language","by hand","data","categorical",4,603,257,"Positional behavior of a grammatical marker in its phrase, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press), binned into four broad types"
"Grammatical_markers","Behavior.spreading.Presence","Behavior","multiple entries per language","by hand","data","logical",2,1873,442,"Grammatical markers which spreads in its phrase (spreading as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","Behavior","Behavior","multiple entries per language","by hand","data","categorical",10,2057,488,"Positional behavior of a grammatical marker in its phrase, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","Coexponence.CaseNumber.Presence","Exponence","multiple entries per language","derived","data","logical",1,345,331,"Case-Number Coexponence"
"Grammatical_markers","Coexponence.CaseReference.Presence","Exponentiality","multiple entries per language","derived","data","logical",1,345,331,"Case-Referentiality Coexponence"
"Grammatical_markers","Domain","Domain","multiple entries per language","by hand","condition","categorical",2,3355,826,"The domain with respect to which the marker is syntactically placed"
"Grammatical_markers","Exemplar","Exemplar","multiple entries per language","by hand","register","categorical",4,1101,466,"Survey exemplar of grammatical marker (Tense, Case, Negation, Noun Plural), as defined in Bickel & Nichols 2005 in WALS (http://wals.info/chapter/s5)"
"Grammatical_markers","Polyexponence.Presence","Exponence","multiple entries per language","derived","data","logical",2,4499,782,"Polyexponence: whether or not the marker expresses one or more categories"
"Grammatical_markers","Exponence.n","Exponence","multiple entries per language","derived","data","count",6,5047,826,"Exponence: number of categories that are expressed in the same marker"
"Grammatical_markers","Exponence","Exponence","multiple entries per language","derived","data","categorical",113,4573,784,"Category combinations expressed in the same marker"
"Grammatical_markers","Flexivity.Presence","Flexivity.Presence","multiple entries per language","derived","data","logical",2,3014,632,"Some kind of flexivity in stem and/or affixes, either lexically or grammatically conditioned (see Bickel & Nichols 2007 in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","FlexivityFormative","FlexivityFormative","multiple entries per language","by hand","data","categorical",6,3047,634,"Formative flexivity: allomorphy of affixes depending on grammatical categories or lexical choice (see Bickel & Nichols 2007 in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","Form","Form","multiple entries per language","by hand","register","categorical",3162,4203,761,"Phonological form of the marker, for identification purposes only"
"Grammatical_markers","Fusion.binned6","Fusion","multiple entries per language","by hand","data","categorical",6,4022,709,"Phonological fusion of grammatical marker, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press), binned"
"Grammatical_markers","Fusion","Fusion","multiple entries per language","by hand","data","categorical",27,4593,789,"Phonological fusion of grammatical marker, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","Fusion.isolating.Presence","Fusion","multiple entries per language","by hand","data","logical",2,4022,709,"Phonological isolation of grammatical marker, i.e. the marker does not phonologically interact with any host"
"Grammatical_markers","Fusion.nonlinear.Presence","Fusion","multiple entries per language","by hand","data","categorical",3,4544,785,"Nonlinear realization of grammatical marker, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","Fusion.reduplicative.Presence","Fusion","multiple entries per language","by hand","data","categorical",2,4022,709,"Reduplicative realization of grammatical marker, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","Fusion.tonal.Presence","Fusion","multiple entries per language","by hand","data","logical",2,4022,709,"Tonal realization of grammatical marker, i.e. the marker is realized by phonemic tone only"
"Grammatical_markers","FlexivityLexical.Presence","FlexivityLexical.Presence","multiple entries per language","derived","data","logical",2,2971,625,"Lexical flexivity (i.e. lexically-conditioned allomorphy, also known as inflectional classes) in the shape of stems and/or affixes (see Bickel & Nichols 2007 in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
"Grammatical_markers","Locus.binned6","Locus","multiple entries per language","by hand","data","categorical",5,4307,779,"Locus of the marker, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press), binned into 6 basic types"
"Grammatical_markers","Locus","Locus","multiple entries per language","by hand","data","categorical",8,4307,779,"Locus of the marker, as defined in Bickel & Nichols 2007 (in Language typology and syntactic description, ed. T, Shopen, Cambridge: Cambridge University Press)"
